step,experiment,type,N,baseline,empathy_alpha,hetero_tag,learn_alpha_signal,alpha1,alpha2,a1,a2,r1,r2,total_reward,coop_strict,coop_fraction,ineq_var,stock_level,collapse,ma_coop_strict,ma_coop_fraction,ma_total_reward,ma_ineq_var,ma_stock_level,ma_collapse
136,pd_N2,matrix,2,learn_alpha,1.0,,team,0.8,1.0,D,C,5.0,0.0,5.0,0,0.5,6.25,,,0.45,0.66,5.06,2.625,,
137,pd_N2,matrix,2,learn_alpha,1.0,,team,0.8,0.2,C,C,3.0,3.0,6.0,1,1.0,0.0,,,0.45,0.66,5.06,2.625,,
138,pd_N2,matrix,2,learn_alpha,1.0,,team,0.8,0.2,C,C,3.0,3.0,6.0,1,1.0,0.0,,,0.46,0.665,5.07,2.5625,,
139,pd_N2,matrix,2,learn_alpha,1.0,,team,0.8,1.0,C,C,3.0,3.0,6.0,1,1.0,0.0,,,0.46,0.665,5.07,2.5625,,
140,pd_N2,matrix,2,learn_alpha,1.0,,team,0.8,0.2,C,C,3.0,3.0,6.0,1,1.0,0.0,,,0.47,0.67,5.08,2.5,,
141,pd_N2,matrix,2,learn_alpha,1.0,,team,0.8,0.2,C,C,3.0,3.0,6.0,1,1.0,0.0,,,0.47,0.67,5.08,2.5,,
142,pd_N2,matrix,2,learn_alpha,1.0,,team,0.8,0.2,C,C,3.0,3.0,6.0,1,1.0,0.0,,,0.47,0.67,5.08,2.5,,
143,pd_N2,matrix,2,learn_alpha,1.0,,team,0.8,0.2,C,C,3.0,3.0,6.0,1,1.0,0.0,,,0.48,0.675,5.09,2.4375,,
144,pd_N2,matrix,2,learn_alpha,1.0,,team,0.8,0.2,C,C,3.0,3.0,6.0,1,1.0,0.0,,,0.49,0.68,5.1,2.375,,
145,pd_N2,matrix,2,learn_alpha,1.0,,team,0.8,0.2,C,D,0.0,5.0,5.0,0,0.5,6.25,,,0.49,0.685,5.13,2.4375,,
146,pd_N2,matrix,2,learn_alpha,1.0,,team,0.8,0.2,C,D,0.0,5.0,5.0,0,0.5,6.25,,,0.49,0.69,5.16,2.5,,
147,pd_N2,matrix,2,learn_alpha,1.0,,team,0.2,0.2,C,D,0.0,5.0,5.0,0,0.5,6.25,,,0.49,0.69,5.16,2.5,,
148,pd_N2,matrix,2,learn_alpha,1.0,,team,0.8,0.2,C,C,3.0,3.0,6.0,1,1.0,0.0,,,0.49,0.69,5.16,2.5,,
149,pd_N2,matrix,2,learn_alpha,1.0,,team,0.8,0.2,C,D,0.0,5.0,5.0,0,0.5,6.25,,,0.49,0.69,5.16,2.5,,
150,pd_N2,matrix,2,learn_alpha,1.0,,team,0.8,0.2,C,C,3.0,3.0,6.0,1,1.0,0.0,,,0.5,0.7,5.2,2.5,,
151,pd_N2,matrix,2,learn_alpha,1.0,,team,0.8,0.2,D,C,5.0,0.0,5.0,0,0.5,6.25,,,0.49,0.695,5.19,2.5625,,
152,pd_N2,matrix,2,learn_alpha,1.0,,team,0.8,0.2,C,C,3.0,3.0,6.0,1,1.0,0.0,,,0.5,0.7,5.2,2.5,,
153,pd_N2,matrix,2,learn_alpha,1.0,,team,0.8,0.2,C,C,3.0,3.0,6.0,1,1.0,0.0,,,0.5,0.7,5.2,2.5,,
