step,experiment,type,N,empathy_alpha,A1_action,A2_action,A3_action,A4_action,r1,r2,r3,r4,r1_shaped,r2_shaped,r3_shaped,r4_shaped,epsilon_A1,epsilon_A2,epsilon_A3,epsilon_A4,state,total_reward,coop_flag,moving_avg_coop,moving_avg_total_reward,extra_total_extraction,extra_stock_level
17,rs_N4,resource,4,0.2,2,0,1,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.9183,0.9183,0.9183,0.9183,0,-2.0,1,,,3,0
18,rs_N4,resource,4,0.2,1,0,1,1,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.9137,0.9137,0.9137,0.9137,0,-2.0,1,,,3,0
19,rs_N4,resource,4,0.2,1,2,0,2,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.9092,0.9092,0.9092,0.9092,0,-2.0,0,,,5,0
20,rs_N4,resource,4,0.2,0,0,2,2,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.9046,0.9046,0.9046,0.9046,0,-2.0,1,,,4,0
21,rs_N4,resource,4,0.2,2,0,0,2,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.9001,0.9001,0.9001,0.9001,0,-2.0,1,,,4,0
22,rs_N4,resource,4,0.2,1,1,2,2,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.8956,0.8956,0.8956,0.8956,0,-2.0,0,,,6,0
23,rs_N4,resource,4,0.2,1,2,0,2,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.8911,0.8911,0.8911,0.8911,0,-2.0,0,,,5,0
24,rs_N4,resource,4,0.2,2,2,2,2,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.8867,0.8867,0.8867,0.8867,0,-2.0,0,,,8,0
25,rs_N4,resource,4,0.2,1,1,2,1,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.8822,0.8822,0.8822,0.8822,0,-2.0,0,,,5,0
26,rs_N4,resource,4,0.2,2,2,1,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.8778,0.8778,0.8778,0.8778,0,-2.0,0,,,5,0
27,rs_N4,resource,4,0.2,2,0,2,2,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.8734,0.8734,0.8734,0.8734,0,-2.0,0,,,6,0
28,rs_N4,resource,4,0.2,1,0,2,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.8691,0.8691,0.8691,0.8691,0,-2.0,1,,,3,0
29,rs_N4,resource,4,0.2,0,0,1,2,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.8647,0.8647,0.8647,0.8647,0,-2.0,1,,,3,0
30,rs_N4,resource,4,0.2,0,1,2,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.8604,0.8604,0.8604,0.8604,0,-2.0,1,,,3,0
