episode,alpha_emp,A1_action,A2_action,A3_action,A4_action,r1,r2,r3,r4,r1_shaped,r2_shaped,r3_shaped,r4_shaped,epsilon_A1,epsilon_A2,epsilon_A3,epsilon_A4,total_reward,coop_flag,moving_avg_coop,moving_avg_total_reward
107,0.8,H,H,H,S,2.3333,2.3333,2.3333,0.0,2.1778,2.1778,2.1778,0.4667,0.5849,0.5849,0.5849,0.5849,7.0,0,0.08,9.18
108,0.8,S,H,H,S,1.3333,2.6667,2.6667,1.3333,1.5111,2.4889,2.4889,1.5111,0.582,0.582,0.582,0.582,8.0,0,0.08,9.18
109,0.8,S,S,H,H,1.3333,1.3333,2.6667,2.6667,1.5111,1.5111,2.4889,2.4889,0.579,0.579,0.579,0.579,8.0,0,0.08,9.18
110,0.8,S,H,H,S,1.3333,2.6667,2.6667,1.3333,1.5111,2.4889,2.4889,1.5111,0.5762,0.5762,0.5762,0.5762,8.0,0,0.08,9.18
111,0.8,H,S,H,S,2.6667,1.3333,2.6667,1.3333,2.4889,1.5111,2.4889,1.5111,0.5733,0.5733,0.5733,0.5733,8.0,0,0.08,9.18
112,0.8,H,S,H,H,2.3333,0.0,2.3333,2.3333,2.1778,0.4667,2.1778,2.1778,0.5704,0.5704,0.5704,0.5704,7.0,0,0.08,9.18
113,0.8,H,S,S,H,2.6667,1.3333,1.3333,2.6667,2.4889,1.5111,1.5111,2.4889,0.5676,0.5676,0.5676,0.5676,8.0,0,0.08,9.19
114,0.8,S,H,S,H,1.3333,2.6667,1.3333,2.6667,1.5111,2.4889,1.5111,2.4889,0.5647,0.5647,0.5647,0.5647,8.0,0,0.08,9.19
115,0.8,H,H,S,H,2.3333,2.3333,0.0,2.3333,2.1778,2.1778,0.4667,2.1778,0.5619,0.5619,0.5619,0.5619,7.0,0,0.08,9.15
116,0.8,S,S,S,H,2.6667,2.6667,2.6667,3.0,2.6889,2.6889,2.6889,2.9333,0.5591,0.5591,0.5591,0.5591,11.0,0,0.08,9.19
117,0.8,S,H,S,H,1.3333,2.6667,1.3333,2.6667,1.5111,2.4889,1.5111,2.4889,0.5563,0.5563,0.5563,0.5563,8.0,0,0.08,9.19
118,0.8,S,S,H,S,2.6667,2.6667,3.0,2.6667,2.6889,2.6889,2.9333,2.6889,0.5535,0.5535,0.5535,0.5535,11.0,0,0.08,9.22
119,0.8,S,H,H,S,1.3333,2.6667,2.6667,1.3333,1.5111,2.4889,2.4889,1.5111,0.5507,0.5507,0.5507,0.5507,8.0,0,0.08,9.23
120,0.8,S,H,H,S,1.3333,2.6667,2.6667,1.3333,1.5111,2.4889,2.4889,1.5111,0.548,0.548,0.548,0.548,8.0,0,0.08,9.24
121,0.8,S,H,H,S,1.3333,2.6667,2.6667,1.3333,1.5111,2.4889,2.4889,1.5111,0.5452,0.5452,0.5452,0.5452,8.0,0,0.08,9.25
122,0.8,S,H,S,S,2.6667,3.0,2.6667,2.6667,2.6889,2.9333,2.6889,2.6889,0.5425,0.5425,0.5425,0.5425,11.0,0,0.08,9.25
123,0.8,S,S,H,H,1.3333,1.3333,2.6667,2.6667,1.5111,1.5111,2.4889,2.4889,0.5398,0.5398,0.5398,0.5398,8.0,0,0.08,9.26
