step,experiment,type,N,baseline,empathy_alpha,hetero_tag,learn_alpha_signal,alpha1,alpha2,alpha_mean,a1,a2,r1,r2,total_reward,coop_strict,coop_fraction,ineq_var,stock_level,collapse,ma_coop_strict,ma_coop_fraction,ma_total_reward,ma_ineq_var,ma_stock_level,ma_collapse,ma_alpha_mean
142,pd_N2,matrix,2,empathy,0.5,,,0.5,0.5,0.5,C,C,3.0,3.0,6.0,1,1.0,0.0,,,0.49,0.685,5.13,2.4375,,,0.5
143,pd_N2,matrix,2,empathy,0.5,,,0.5,0.5,0.5,C,C,3.0,3.0,6.0,1,1.0,0.0,,,0.49,0.685,5.13,2.4375,,,0.5
144,pd_N2,matrix,2,empathy,0.5,,,0.5,0.5,0.5,D,C,5.0,0.0,5.0,0,0.5,6.25,,,0.49,0.685,5.13,2.4375,,,0.5
145,pd_N2,matrix,2,empathy,0.5,,,0.5,0.5,0.5,D,D,1.0,1.0,2.0,0,0.0,0.0,,,0.49,0.68,5.1,2.375,,,0.5
146,pd_N2,matrix,2,empathy,0.5,,,0.5,0.5,0.5,C,C,3.0,3.0,6.0,1,1.0,0.0,,,0.49,0.68,5.1,2.375,,,0.5
147,pd_N2,matrix,2,empathy,0.5,,,0.5,0.5,0.5,C,C,3.0,3.0,6.0,1,1.0,0.0,,,0.5,0.685,5.11,2.3125,,,0.5
148,pd_N2,matrix,2,empathy,0.5,,,0.5,0.5,0.5,D,D,1.0,1.0,2.0,0,0.0,0.0,,,0.5,0.685,5.11,2.3125,,,0.5
149,pd_N2,matrix,2,empathy,0.5,,,0.5,0.5,0.5,D,C,5.0,0.0,5.0,0,0.5,6.25,,,0.49,0.68,5.1,2.375,,,0.5
150,pd_N2,matrix,2,empathy,0.5,,,0.5,0.5,0.5,C,D,0.0,5.0,5.0,0,0.5,6.25,,,0.49,0.68,5.1,2.375,,,0.5
151,pd_N2,matrix,2,empathy,0.5,,,0.5,0.5,0.5,C,C,3.0,3.0,6.0,1,1.0,0.0,,,0.5,0.685,5.11,2.3125,,,0.5
152,pd_N2,matrix,2,empathy,0.5,,,0.5,0.5,0.5,C,D,0.0,5.0,5.0,0,0.5,6.25,,,0.5,0.685,5.11,2.3125,,,0.5
153,pd_N2,matrix,2,empathy,0.5,,,0.5,0.5,0.5,D,C,5.0,0.0,5.0,0,0.5,6.25,,,0.49,0.68,5.1,2.375,,,0.5
154,pd_N2,matrix,2,empathy,0.5,,,0.5,0.5,0.5,C,C,3.0,3.0,6.0,1,1.0,0.0,,,0.5,0.685,5.11,2.3125,,,0.5
155,pd_N2,matrix,2,empathy,0.5,,,0.5,0.5,0.5,C,D,0.0,5.0,5.0,0,0.5,6.25,,,0.49,0.68,5.1,2.375,,,0.5
156,pd_N2,matrix,2,empathy,0.5,,,0.5,0.5,0.5,D,C,5.0,0.0,5.0,0,0.5,6.25,,,0.48,0.675,5.09,2.4375,,,0.5
157,pd_N2,matrix,2,empathy,0.5,,,0.5,0.5,0.5,C,C,3.0,3.0,6.0,1,1.0,0.0,,,0.48,0.675,5.09,2.4375,,,0.5
158,pd_N2,matrix,2,empathy,0.5,,,0.5,0.5,0.5,C,C,3.0,3.0,6.0,1,1.0,0.0,,,0.48,0.675,5.09,2.4375,,,0.5
159,pd_N2,matrix,2,empathy,0.5,,,0.5,0.5,0.5,C,C,3.0,3.0,6.0,1,1.0,0.0,,,0.49,0.68,5.1,2.375,,,0.5
160,pd_N2,matrix,2,empathy,0.5,,,0.5,0.5,0.5,C,C,3.0,3.0,6.0,1,1.0,0.0,,,0.5,0.685,5.11,2.3125,,,0.5
161,pd_N2,matrix,2,empathy,0.5,,,0.5,0.5,0.5,C,C,3.0,3.0,6.0,1,1.0,0.0,,,0.51,0.69,5.12,2.25,,,0.5
162,pd_N2,matrix,2,empathy,0.5,,,0.5,0.5,0.5,C,C,3.0,3.0,6.0,1,1.0,0.0,,,0.52,0.7,5.16,2.25,,,0.5
163,pd_N2,matrix,2,empathy,0.5,,,0.5,0.5,0.5,C,C,3.0,3.0,6.0,1,1.0,0.0,,,0.52,0.7,5.16,2.25,,,0.5
164,pd_N2,matrix,2,empathy,0.5,,,0.5,0.5,0.5,C,C,3.0,3.0,6.0,1,1.0,0.0,,,0.52,0.7,5.16,2.25,,,0.5
165,pd_N2,matrix,2,empathy,0.5,,,0.5,0.5,0.5,C,D,0.0,5.0,5.0,0,0.5,6.25,,,0.51,0.695,5.15,2.3125,,,0.5
166,pd_N2,matrix,2,empathy,0.5,,,0.5,0.5,0.5,D,C,5.0,0.0,5.0,0,0.5,6.25,,,0.51,0.695,5.15,2.3125,,,0.5
167,pd_N2,matrix,2,empathy,0.5,,,0.5,0.5,0.5,C,C,3.0,3.0,6.0,1,1.0,0.0,,,0.52,0.7,5.16,2.25,,,0.5
168,pd_N2,matrix,2,empathy,0.5,,,0.5,0.5,0.5,D,C,5.0,0.0,5.0,0,0.5,6.25,,,0.52,0.705,5.19,2.3125,,,0.5
169,pd_N2,matrix,2,empathy,0.5,,,0.5,0.5,0.5,C,C,3.0,3.0,6.0,1,1.0,0.0,,,0.52,0.705,5.19,2.3125,,,0.5
170,pd_N2,matrix,2,empathy,0.5,,,0.5,0.5,0.5,D,C,5.0,0.0,5.0,0,0.5,6.25,,,0.51,0.7,5.18,2.375,,,0.5
171,pd_N2,matrix,2,empathy,0.5,,,0.5,0.5,0.5,C,D,0.0,5.0,5.0,0,0.5,6.25,,,0.51,0.7,5.18,2.375,,,0.5
172,pd_N2,matrix,2,empathy,0.5,,,0.5,0.5,0.5,C,C,3.0,3.0,6.0,1,1.0,0.0,,,0.51,0.7,5.18,2.375,,,0.5
