step,experiment,type,N,empathy_alpha,A1_action,A2_action,A3_action,A4_action,r1,r2,r3,r4,r1_shaped,r2_shaped,r3_shaped,r4_shaped,epsilon_A1,epsilon_A2,epsilon_A3,epsilon_A4,state,total_reward,coop_flag,moving_avg_coop,moving_avg_total_reward,extra_total_extraction,extra_stock_level
50,pd_N4,matrix,4,0.5,C,D,D,C,1.0,3.6667,3.6667,1.0,1.8889,2.7778,2.7778,1.8889,0.7783,0.7783,0.7783,0.7783,"('C', 'D', 'D', 'C')",9.3333,0,,,,
51,pd_N4,matrix,4,0.5,D,C,C,D,3.6667,1.0,1.0,3.6667,2.7778,1.8889,1.8889,2.7778,0.7744,0.7744,0.7744,0.7744,"('D', 'C', 'C', 'D')",9.3333,0,,,,
52,pd_N4,matrix,4,0.5,D,C,C,D,3.6667,1.0,1.0,3.6667,2.7778,1.8889,1.8889,2.7778,0.7705,0.7705,0.7705,0.7705,"('D', 'C', 'C', 'D')",9.3333,0,,,,
53,pd_N4,matrix,4,0.5,C,D,C,C,2.0,5.0,2.0,2.0,2.5,3.5,2.5,2.5,0.7667,0.7667,0.7667,0.7667,"('C', 'D', 'C', 'C')",11.0,0,,,,
54,pd_N4,matrix,4,0.5,C,C,D,C,2.0,2.0,5.0,2.0,2.5,2.5,3.5,2.5,0.7629,0.7629,0.7629,0.7629,"('C', 'C', 'D', 'C')",11.0,0,,,,
55,pd_N4,matrix,4,0.5,D,D,C,D,2.3333,2.3333,0.0,2.3333,1.9444,1.9444,1.1667,1.9444,0.759,0.759,0.759,0.759,"('D', 'D', 'C', 'D')",7.0,0,,,,
56,pd_N4,matrix,4,0.5,C,C,D,C,2.0,2.0,5.0,2.0,2.5,2.5,3.5,2.5,0.7553,0.7553,0.7553,0.7553,"('C', 'C', 'D', 'C')",11.0,0,,,,
57,pd_N4,matrix,4,0.5,D,D,C,D,2.3333,2.3333,0.0,2.3333,1.9444,1.9444,1.1667,1.9444,0.7515,0.7515,0.7515,0.7515,"('D', 'D', 'C', 'D')",7.0,0,,,,
58,pd_N4,matrix,4,0.5,C,C,C,C,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.7477,0.7477,0.7477,0.7477,"('C', 'C', 'C', 'C')",12.0,1,,,,
59,pd_N4,matrix,4,0.5,D,D,D,C,2.3333,2.3333,2.3333,0.0,1.9444,1.9444,1.9444,1.1667,0.744,0.744,0.744,0.744,"('D', 'D', 'D', 'C')",7.0,0,,,,
60,pd_N4,matrix,4,0.5,D,C,D,D,2.3333,0.0,2.3333,2.3333,1.9444,1.1667,1.9444,1.9444,0.7403,0.7403,0.7403,0.7403,"('D', 'C', 'D', 'D')",7.0,0,,,,
61,pd_N4,matrix,4,0.5,C,C,C,D,2.0,2.0,2.0,5.0,2.5,2.5,2.5,3.5,0.7366,0.7366,0.7366,0.7366,"('C', 'C', 'C', 'D')",11.0,0,,,,
62,pd_N4,matrix,4,0.5,C,D,D,D,0.0,2.3333,2.3333,2.3333,1.1667,1.9444,1.9444,1.9444,0.7329,0.7329,0.7329,0.7329,"('C', 'D', 'D', 'D')",7.0,0,,,,
63,pd_N4,matrix,4,0.5,C,D,D,C,1.0,3.6667,3.6667,1.0,1.8889,2.7778,2.7778,1.8889,0.7292,0.7292,0.7292,0.7292,"('C', 'D', 'D', 'C')",9.3333,0,,,,
