episode,alpha_emp,N,A1_action,A2_action,r1,r2,r1_shaped,r2_shaped,epsilon_A1,epsilon_A2,total_reward,coop_flag,moving_avg_coop,moving_avg_total_reward
36,0.5,2,C,D,0.0,5.0,2.5,2.5,0.8349,0.8349,5.0,0,,
37,0.5,2,D,C,5.0,0.0,2.5,2.5,0.8307,0.8307,5.0,0,,
38,0.5,2,C,C,3.0,3.0,3.0,3.0,0.8266,0.8266,6.0,1,,
39,0.5,2,C,D,0.0,5.0,2.5,2.5,0.8224,0.8224,5.0,0,,
40,0.5,2,D,C,5.0,0.0,2.5,2.5,0.8183,0.8183,5.0,0,,
41,0.5,2,D,C,5.0,0.0,2.5,2.5,0.8142,0.8142,5.0,0,,
42,0.5,2,C,D,0.0,5.0,2.5,2.5,0.8102,0.8102,5.0,0,,
43,0.5,2,D,D,1.0,1.0,1.0,1.0,0.8061,0.8061,2.0,0,,
44,0.5,2,D,C,5.0,0.0,2.5,2.5,0.8021,0.8021,5.0,0,,
45,0.5,2,C,C,3.0,3.0,3.0,3.0,0.7981,0.7981,6.0,1,,
46,0.5,2,C,C,3.0,3.0,3.0,3.0,0.7941,0.7941,6.0,1,,
47,0.5,2,C,C,3.0,3.0,3.0,3.0,0.7901,0.7901,6.0,1,,
48,0.5,2,C,D,0.0,5.0,2.5,2.5,0.7862,0.7862,5.0,0,,
49,0.5,2,C,D,0.0,5.0,2.5,2.5,0.7822,0.7822,5.0,0,,
50,0.5,2,C,C,3.0,3.0,3.0,3.0,0.7783,0.7783,6.0,1,,
51,0.5,2,D,C,5.0,0.0,2.5,2.5,0.7744,0.7744,5.0,0,,
52,0.5,2,D,C,5.0,0.0,2.5,2.5,0.7705,0.7705,5.0,0,,
53,0.5,2,C,C,3.0,3.0,3.0,3.0,0.7667,0.7667,6.0,1,,
54,0.5,2,C,C,3.0,3.0,3.0,3.0,0.7629,0.7629,6.0,1,,
55,0.5,2,D,D,1.0,1.0,1.0,1.0,0.759,0.759,2.0,0,,
56,0.5,2,C,C,3.0,3.0,3.0,3.0,0.7553,0.7553,6.0,1,,
57,0.5,2,D,C,5.0,0.0,2.5,2.5,0.7515,0.7515,5.0,0,,
58,0.5,2,C,C,3.0,3.0,3.0,3.0,0.7477,0.7477,6.0,1,,
59,0.5,2,C,D,0.0,5.0,2.5,2.5,0.744,0.744,5.0,0,,
60,0.5,2,C,C,3.0,3.0,3.0,3.0,0.7403,0.7403,6.0,1,,
61,0.5,2,C,C,3.0,3.0,3.0,3.0,0.7366,0.7366,6.0,1,,
62,0.5,2,C,D,0.0,5.0,2.5,2.5,0.7329,0.7329,5.0,0,,
63,0.5,2,C,D,0.0,5.0,2.5,2.5,0.7292,0.7292,5.0,0,,
64,0.5,2,C,C,3.0,3.0,3.0,3.0,0.7256,0.7256,6.0,1,,
65,0.5,2,C,C,3.0,3.0,3.0,3.0,0.7219,0.7219,6.0,1,,
66,0.5,2,D,C,5.0,0.0,2.5,2.5,0.7183,0.7183,5.0,0,,
67,0.5,2,D,D,1.0,1.0,1.0,1.0,0.7147,0.7147,2.0,0,,
68,0.5,2,C,D,0.0,5.0,2.5,2.5,0.7112,0.7112,5.0,0,,
69,0.5,2,C,C,3.0,3.0,3.0,3.0,0.7076,0.7076,6.0,1,,
70,0.5,2,C,D,0.0,5.0,2.5,2.5,0.7041,0.7041,5.0,0,,
71,0.5,2,D,C,5.0,0.0,2.5,2.5,0.7005,0.7005,5.0,0,,
72,0.5,2,C,C,3.0,3.0,3.0,3.0,0.697,0.697,6.0,1,,
73,0.5,2,D,C,5.0,0.0,2.5,2.5,0.6936,0.6936,5.0,0,,
74,0.5,2,C,C,3.0,3.0,3.0,3.0,0.6901,0.6901,6.0,1,,
75,0.5,2,D,D,1.0,1.0,1.0,1.0,0.6866,0.6866,2.0,0,,
76,0.5,2,C,C,3.0,3.0,3.0,3.0,0.6832,0.6832,6.0,1,,
77,0.5,2,C,D,0.0,5.0,2.5,2.5,0.6798,0.6798,5.0,0,,
78,0.5,2,C,C,3.0,3.0,3.0,3.0,0.6764,0.6764,6.0,1,,
79,0.5,2,D,C,5.0,0.0,2.5,2.5,0.673,0.673,5.0,0,,
80,0.5,2,C,C,3.0,3.0,3.0,3.0,0.6696,0.6696,6.0,1,,
81,0.5,2,C,D,0.0,5.0,2.5,2.5,0.6663,0.6663,5.0,0,,
82,0.5,2,C,D,0.0,5.0,2.5,2.5,0.663,0.663,5.0,0,,
83,0.5,2,C,C,3.0,3.0,3.0,3.0,0.6597,0.6597,6.0,1,,
84,0.5,2,C,C,3.0,3.0,3.0,3.0,0.6564,0.6564,6.0,1,,
85,0.5,2,C,C,3.0,3.0,3.0,3.0,0.6531,0.6531,6.0,1,,
86,0.5,2,C,C,3.0,3.0,3.0,3.0,0.6498,0.6498,6.0,1,,
87,0.5,2,D,C,5.0,0.0,2.5,2.5,0.6466,0.6466,5.0,0,,
88,0.5,2,C,C,3.0,3.0,3.0,3.0,0.6433,0.6433,6.0,1,,
89,0.5,2,D,C,5.0,0.0,2.5,2.5,0.6401,0.6401,5.0,0,,
90,0.5,2,D,C,5.0,0.0,2.5,2.5,0.6369,0.6369,5.0,0,,
91,0.5,2,C,C,3.0,3.0,3.0,3.0,0.6337,0.6337,6.0,1,,
92,0.5,2,D,C,5.0,0.0,2.5,2.5,0.6306,0.6306,5.0,0,,
93,0.5,2,D,D,1.0,1.0,1.0,1.0,0.6274,0.6274,2.0,0,,
94,0.5,2,C,C,3.0,3.0,3.0,3.0,0.6243,0.6243,6.0,1,,
95,0.5,2,C,D,0.0,5.0,2.5,2.5,0.6211,0.6211,5.0,0,,
96,0.5,2,D,D,1.0,1.0,1.0,1.0,0.618,0.618,2.0,0,,
97,0.5,2,C,C,3.0,3.0,3.0,3.0,0.6149,0.6149,6.0,1,,
98,0.5,2,C,C,3.0,3.0,3.0,3.0,0.6119,0.6119,6.0,1,,
99,0.5,2,C,C,3.0,3.0,3.0,3.0,0.6088,0.6088,6.0,1,,
100,0.5,2,D,C,5.0,0.0,2.5,2.5,0.6058,0.6058,5.0,0,0.41,5.08
101,0.5,2,C,C,3.0,3.0,3.0,3.0,0.6027,0.6027,6.0,1,0.41,5.08
102,0.5,2,C,D,0.0,5.0,2.5,2.5,0.5997,0.5997,5.0,0,0.41,5.08
103,0.5,2,C,D,0.0,5.0,2.5,2.5,0.5967,0.5967,5.0,0,0.4,5.07
104,0.5,2,C,C,3.0,3.0,3.0,3.0,0.5937,0.5937,6.0,1,0.41,5.08
105,0.5,2,D,C,5.0,0.0,2.5,2.5,0.5908,0.5908,5.0,0,0.41,5.08
106,0.5,2,D,C,5.0,0.0,2.5,2.5,0.5878,0.5878,5.0,0,0.41,5.08
107,0.5,2,C,C,3.0,3.0,3.0,3.0,0.5849,0.5849,6.0,1,0.41,5.08
108,0.5,2,D,C,5.0,0.0,2.5,2.5,0.582,0.582,5.0,0,0.41,5.08
109,0.5,2,D,C,5.0,0.0,2.5,2.5,0.579,0.579,5.0,0,0.41,5.08
110,0.5,2,D,C,5.0,0.0,2.5,2.5,0.5762,0.5762,5.0,0,0.41,5.08
111,0.5,2,D,D,1.0,1.0,1.0,1.0,0.5733,0.5733,2.0,0,0.41,5.05
112,0.5,2,C,C,3.0,3.0,3.0,3.0,0.5704,0.5704,6.0,1,0.42,5.09
113,0.5,2,C,C,3.0,3.0,3.0,3.0,0.5676,0.5676,6.0,1,0.43,5.1
114,0.5,2,C,C,3.0,3.0,3.0,3.0,0.5647,0.5647,6.0,1,0.43,5.1
115,0.5,2,D,D,1.0,1.0,1.0,1.0,0.5619,0.5619,2.0,0,0.43,5.07
116,0.5,2,C,D,0.0,5.0,2.5,2.5,0.5591,0.5591,5.0,0,0.43,5.1
117,0.5,2,C,D,0.0,5.0,2.5,2.5,0.5563,0.5563,5.0,0,0.42,5.09
118,0.5,2,C,D,0.0,5.0,2.5,2.5,0.5535,0.5535,5.0,0,0.41,5.08
119,0.5,2,C,C,3.0,3.0,3.0,3.0,0.5507,0.5507,6.0,1,0.41,5.08
120,0.5,2,C,C,3.0,3.0,3.0,3.0,0.548,0.548,6.0,1,0.42,5.12
121,0.5,2,C,D,0.0,5.0,2.5,2.5,0.5452,0.5452,5.0,0,0.42,5.15
122,0.5,2,C,C,3.0,3.0,3.0,3.0,0.5425,0.5425,6.0,1,0.43,5.16
123,0.5,2,C,C,3.0,3.0,3.0,3.0,0.5398,0.5398,6.0,1,0.43,5.16
124,0.5,2,C,C,3.0,3.0,3.0,3.0,0.5371,0.5371,6.0,1,0.43,5.16
125,0.5,2,C,C,3.0,3.0,3.0,3.0,0.5344,0.5344,6.0,1,0.44,5.17
126,0.5,2,D,C,5.0,0.0,2.5,2.5,0.5318,0.5318,5.0,0,0.44,5.17
127,0.5,2,D,C,5.0,0.0,2.5,2.5,0.5291,0.5291,5.0,0,0.44,5.17
128,0.5,2,C,C,3.0,3.0,3.0,3.0,0.5264,0.5264,6.0,1,0.45,5.18
129,0.5,2,C,D,0.0,5.0,2.5,2.5,0.5238,0.5238,5.0,0,0.45,5.21
130,0.5,2,C,D,0.0,5.0,2.5,2.5,0.5212,0.5212,5.0,0,0.44,5.2
131,0.5,2,C,C,3.0,3.0,3.0,3.0,0.5186,0.5186,6.0,1,0.45,5.21
132,0.5,2,C,C,3.0,3.0,3.0,3.0,0.516,0.516,6.0,1,0.45,5.21
133,0.5,2,C,C,3.0,3.0,3.0,3.0,0.5134,0.5134,6.0,1,0.46,5.22
134,0.5,2,D,C,5.0,0.0,2.5,2.5,0.5108,0.5108,5.0,0,0.45,5.21
135,0.5,2,C,C,3.0,3.0,3.0,3.0,0.5083,0.5083,6.0,1,0.46,5.22
136,0.5,2,C,D,0.0,5.0,2.5,2.5,0.5058,0.5058,5.0,0,0.46,5.22
137,0.5,2,C,C,3.0,3.0,3.0,3.0,0.5032,0.5032,6.0,1,0.47,5.23
138,0.5,2,C,C,3.0,3.0,3.0,3.0,0.5007,0.5007,6.0,1,0.47,5.23
139,0.5,2,C,C,3.0,3.0,3.0,3.0,0.4982,0.4982,6.0,1,0.48,5.24
140,0.5,2,C,D,0.0,5.0,2.5,2.5,0.4957,0.4957,5.0,0,0.48,5.24
141,0.5,2,C,C,3.0,3.0,3.0,3.0,0.4932,0.4932,6.0,1,0.49,5.25
142,0.5,2,C,C,3.0,3.0,3.0,3.0,0.4908,0.4908,6.0,1,0.5,5.26
143,0.5,2,C,C,3.0,3.0,3.0,3.0,0.4883,0.4883,6.0,1,0.51,5.3
144,0.5,2,C,C,3.0,3.0,3.0,3.0,0.4859,0.4859,6.0,1,0.52,5.31
145,0.5,2,C,C,3.0,3.0,3.0,3.0,0.4834,0.4834,6.0,1,0.52,5.31
146,0.5,2,C,C,3.0,3.0,3.0,3.0,0.481,0.481,6.0,1,0.52,5.31
147,0.5,2,D,D,1.0,1.0,1.0,1.0,0.4786,0.4786,2.0,0,0.51,5.27
148,0.5,2,C,C,3.0,3.0,3.0,3.0,0.4762,0.4762,6.0,1,0.52,5.28
149,0.5,2,C,C,3.0,3.0,3.0,3.0,0.4738,0.4738,6.0,1,0.53,5.29
150,0.5,2,C,C,3.0,3.0,3.0,3.0,0.4715,0.4715,6.0,1,0.53,5.29
151,0.5,2,D,C,5.0,0.0,2.5,2.5,0.4691,0.4691,5.0,0,0.53,5.29
152,0.5,2,C,C,3.0,3.0,3.0,3.0,0.4668,0.4668,6.0,1,0.54,5.3
153,0.5,2,C,D,0.0,5.0,2.5,2.5,0.4644,0.4644,5.0,0,0.53,5.29
154,0.5,2,C,C,3.0,3.0,3.0,3.0,0.4621,0.4621,6.0,1,0.53,5.29
155,0.5,2,C,C,3.0,3.0,3.0,3.0,0.4598,0.4598,6.0,1,0.54,5.33
156,0.5,2,C,D,0.0,5.0,2.5,2.5,0.4575,0.4575,5.0,0,0.53,5.32
157,0.5,2,C,C,3.0,3.0,3.0,3.0,0.4552,0.4552,6.0,1,0.54,5.33
158,0.5,2,C,C,3.0,3.0,3.0,3.0,0.4529,0.4529,6.0,1,0.54,5.33
159,0.5,2,C,C,3.0,3.0,3.0,3.0,0.4507,0.4507,6.0,1,0.55,5.34
160,0.5,2,C,C,3.0,3.0,3.0,3.0,0.4484,0.4484,6.0,1,0.55,5.34
161,0.5,2,D,C,5.0,0.0,2.5,2.5,0.4462,0.4462,5.0,0,0.54,5.33
162,0.5,2,C,C,3.0,3.0,3.0,3.0,0.444,0.444,6.0,1,0.55,5.34
163,0.5,2,C,C,3.0,3.0,3.0,3.0,0.4417,0.4417,6.0,1,0.56,5.35
164,0.5,2,C,D,0.0,5.0,2.5,2.5,0.4395,0.4395,5.0,0,0.55,5.34
165,0.5,2,C,D,0.0,5.0,2.5,2.5,0.4373,0.4373,5.0,0,0.54,5.33
166,0.5,2,D,C,5.0,0.0,2.5,2.5,0.4351,0.4351,5.0,0,0.54,5.33
167,0.5,2,C,C,3.0,3.0,3.0,3.0,0.433,0.433,6.0,1,0.55,5.37
168,0.5,2,C,C,3.0,3.0,3.0,3.0,0.4308,0.4308,6.0,1,0.56,5.38
169,0.5,2,C,D,0.0,5.0,2.5,2.5,0.4286,0.4286,5.0,0,0.55,5.37
170,0.5,2,C,D,0.0,5.0,2.5,2.5,0.4265,0.4265,5.0,0,0.55,5.37
171,0.5,2,C,D,0.0,5.0,2.5,2.5,0.4244,0.4244,5.0,0,0.55,5.37
172,0.5,2,D,C,5.0,0.0,2.5,2.5,0.4223,0.4223,5.0,0,0.54,5.36
173,0.5,2,C,C,3.0,3.0,3.0,3.0,0.4201,0.4201,6.0,1,0.55,5.37
174,0.5,2,C,D,0.0,5.0,2.5,2.5,0.418,0.418,5.0,0,0.54,5.36
175,0.5,2,D,C,5.0,0.0,2.5,2.5,0.4159,0.4159,5.0,0,0.54,5.39
176,0.5,2,C,C,3.0,3.0,3.0,3.0,0.4139,0.4139,6.0,1,0.54,5.39
177,0.5,2,D,C,5.0,0.0,2.5,2.5,0.4118,0.4118,5.0,0,0.54,5.39
178,0.5,2,C,D,0.0,5.0,2.5,2.5,0.4097,0.4097,5.0,0,0.53,5.38
179,0.5,2,C,C,3.0,3.0,3.0,3.0,0.4077,0.4077,6.0,1,0.54,5.39
180,0.5,2,C,C,3.0,3.0,3.0,3.0,0.4057,0.4057,6.0,1,0.54,5.39
181,0.5,2,D,C,5.0,0.0,2.5,2.5,0.4036,0.4036,5.0,0,0.54,5.39
182,0.5,2,D,C,5.0,0.0,2.5,2.5,0.4016,0.4016,5.0,0,0.54,5.39
183,0.5,2,D,D,1.0,1.0,1.0,1.0,0.3996,0.3996,2.0,0,0.53,5.35
184,0.5,2,C,D,0.0,5.0,2.5,2.5,0.3976,0.3976,5.0,0,0.52,5.34
185,0.5,2,C,D,0.0,5.0,2.5,2.5,0.3956,0.3956,5.0,0,0.51,5.33
186,0.5,2,D,C,5.0,0.0,2.5,2.5,0.3936,0.3936,5.0,0,0.5,5.32
187,0.5,2,C,C,3.0,3.0,3.0,3.0,0.3917,0.3917,6.0,1,0.51,5.33
188,0.5,2,C,C,3.0,3.0,3.0,3.0,0.3897,0.3897,6.0,1,0.51,5.33
189,0.5,2,C,C,3.0,3.0,3.0,3.0,0.3878,0.3878,6.0,1,0.52,5.34
190,0.5,2,C,C,3.0,3.0,3.0,3.0,0.3858,0.3858,6.0,1,0.53,5.35
191,0.5,2,C,C,3.0,3.0,3.0,3.0,0.3839,0.3839,6.0,1,0.53,5.35
192,0.5,2,C,C,3.0,3.0,3.0,3.0,0.382,0.382,6.0,1,0.54,5.36
193,0.5,2,D,C,5.0,0.0,2.5,2.5,0.3801,0.3801,5.0,0,0.54,5.39
194,0.5,2,C,D,0.0,5.0,2.5,2.5,0.3782,0.3782,5.0,0,0.53,5.38
195,0.5,2,C,C,3.0,3.0,3.0,3.0,0.3763,0.3763,6.0,1,0.54,5.39
196,0.5,2,C,C,3.0,3.0,3.0,3.0,0.3744,0.3744,6.0,1,0.55,5.43
197,0.5,2,C,C,3.0,3.0,3.0,3.0,0.3725,0.3725,6.0,1,0.55,5.43
198,0.5,2,C,C,3.0,3.0,3.0,3.0,0.3707,0.3707,6.0,1,0.55,5.43
199,0.5,2,C,C,3.0,3.0,3.0,3.0,0.3688,0.3688,6.0,1,0.55,5.43
200,0.5,2,C,C,3.0,3.0,3.0,3.0,0.367,0.367,6.0,1,0.56,5.44
201,0.5,2,C,C,3.0,3.0,3.0,3.0,0.3651,0.3651,6.0,1,0.56,5.44
202,0.5,2,C,C,3.0,3.0,3.0,3.0,0.3633,0.3633,6.0,1,0.57,5.45
203,0.5,2,C,C,3.0,3.0,3.0,3.0,0.3615,0.3615,6.0,1,0.58,5.46
204,0.5,2,C,C,3.0,3.0,3.0,3.0,0.3597,0.3597,6.0,1,0.58,5.46
205,0.5,2,C,C,3.0,3.0,3.0,3.0,0.3579,0.3579,6.0,1,0.59,5.47
206,0.5,2,C,C,3.0,3.0,3.0,3.0,0.3561,0.3561,6.0,1,0.6,5.48
207,0.5,2,C,C,3.0,3.0,3.0,3.0,0.3543,0.3543,6.0,1,0.6,5.48
208,0.5,2,C,C,3.0,3.0,3.0,3.0,0.3525,0.3525,6.0,1,0.61,5.49
209,0.5,2,C,C,3.0,3.0,3.0,3.0,0.3508,0.3508,6.0,1,0.62,5.5
210,0.5,2,C,C,3.0,3.0,3.0,3.0,0.349,0.349,6.0,1,0.63,5.51
211,0.5,2,C,C,3.0,3.0,3.0,3.0,0.3473,0.3473,6.0,1,0.64,5.55
212,0.5,2,C,C,3.0,3.0,3.0,3.0,0.3455,0.3455,6.0,1,0.64,5.55
213,0.5,2,C,C,3.0,3.0,3.0,3.0,0.3438,0.3438,6.0,1,0.64,5.55
214,0.5,2,C,C,3.0,3.0,3.0,3.0,0.3421,0.3421,6.0,1,0.64,5.55
215,0.5,2,C,D,0.0,5.0,2.5,2.5,0.3404,0.3404,5.0,0,0.64,5.58
216,0.5,2,C,C,3.0,3.0,3.0,3.0,0.3387,0.3387,6.0,1,0.65,5.59
217,0.5,2,D,D,1.0,1.0,1.0,1.0,0.337,0.337,2.0,0,0.65,5.56
218,0.5,2,C,D,0.0,5.0,2.5,2.5,0.3353,0.3353,5.0,0,0.65,5.56
219,0.5,2,C,C,3.0,3.0,3.0,3.0,0.3336,0.3336,6.0,1,0.65,5.56
220,0.5,2,C,C,3.0,3.0,3.0,3.0,0.332,0.332,6.0,1,0.65,5.56
221,0.5,2,C,C,3.0,3.0,3.0,3.0,0.3303,0.3303,6.0,1,0.66,5.57
222,0.5,2,C,C,3.0,3.0,3.0,3.0,0.3286,0.3286,6.0,1,0.66,5.57
223,0.5,2,C,D,0.0,5.0,2.5,2.5,0.327,0.327,5.0,0,0.65,5.56
224,0.5,2,C,C,3.0,3.0,3.0,3.0,0.3254,0.3254,6.0,1,0.65,5.56
225,0.5,2,C,C,3.0,3.0,3.0,3.0,0.3237,0.3237,6.0,1,0.65,5.56
226,0.5,2,C,C,3.0,3.0,3.0,3.0,0.3221,0.3221,6.0,1,0.66,5.57
227,0.5,2,C,D,0.0,5.0,2.5,2.5,0.3205,0.3205,5.0,0,0.66,5.57
228,0.5,2,C,C,3.0,3.0,3.0,3.0,0.3189,0.3189,6.0,1,0.66,5.57
229,0.5,2,C,C,3.0,3.0,3.0,3.0,0.3173,0.3173,6.0,1,0.67,5.58
230,0.5,2,C,C,3.0,3.0,3.0,3.0,0.3157,0.3157,6.0,1,0.68,5.59
231,0.5,2,D,C,5.0,0.0,2.5,2.5,0.3141,0.3141,5.0,0,0.67,5.58
232,0.5,2,C,C,3.0,3.0,3.0,3.0,0.3126,0.3126,6.0,1,0.67,5.58
233,0.5,2,C,C,3.0,3.0,3.0,3.0,0.311,0.311,6.0,1,0.67,5.58
234,0.5,2,C,D,0.0,5.0,2.5,2.5,0.3095,0.3095,5.0,0,0.67,5.58
235,0.5,2,C,C,3.0,3.0,3.0,3.0,0.3079,0.3079,6.0,1,0.67,5.58
236,0.5,2,C,C,3.0,3.0,3.0,3.0,0.3064,0.3064,6.0,1,0.68,5.59
237,0.5,2,C,C,3.0,3.0,3.0,3.0,0.3048,0.3048,6.0,1,0.68,5.59
238,0.5,2,D,C,5.0,0.0,2.5,2.5,0.3033,0.3033,5.0,0,0.67,5.58
239,0.5,2,C,D,0.0,5.0,2.5,2.5,0.3018,0.3018,5.0,0,0.66,5.57
240,0.5,2,C,C,3.0,3.0,3.0,3.0,0.3003,0.3003,6.0,1,0.67,5.58
241,0.5,2,C,C,3.0,3.0,3.0,3.0,0.2988,0.2988,6.0,1,0.67,5.58
242,0.5,2,D,C,5.0,0.0,2.5,2.5,0.2973,0.2973,5.0,0,0.66,5.57
243,0.5,2,C,C,3.0,3.0,3.0,3.0,0.2958,0.2958,6.0,1,0.66,5.57
244,0.5,2,C,C,3.0,3.0,3.0,3.0,0.2943,0.2943,6.0,1,0.66,5.57
245,0.5,2,C,D,0.0,5.0,2.5,2.5,0.2929,0.2929,5.0,0,0.65,5.56
246,0.5,2,C,C,3.0,3.0,3.0,3.0,0.2914,0.2914,6.0,1,0.65,5.56
247,0.5,2,C,C,3.0,3.0,3.0,3.0,0.2899,0.2899,6.0,1,0.66,5.6
248,0.5,2,C,C,3.0,3.0,3.0,3.0,0.2885,0.2885,6.0,1,0.66,5.6
249,0.5,2,C,C,3.0,3.0,3.0,3.0,0.287,0.287,6.0,1,0.66,5.6
250,0.5,2,C,C,3.0,3.0,3.0,3.0,0.2856,0.2856,6.0,1,0.66,5.6
251,0.5,2,D,C,5.0,0.0,2.5,2.5,0.2842,0.2842,5.0,0,0.66,5.6
252,0.5,2,D,D,1.0,1.0,1.0,1.0,0.2828,0.2828,2.0,0,0.65,5.56
253,0.5,2,D,C,5.0,0.0,2.5,2.5,0.2813,0.2813,5.0,0,0.65,5.56
254,0.5,2,C,C,3.0,3.0,3.0,3.0,0.2799,0.2799,6.0,1,0.65,5.56
255,0.5,2,C,C,3.0,3.0,3.0,3.0,0.2785,0.2785,6.0,1,0.65,5.56
256,0.5,2,C,D,0.0,5.0,2.5,2.5,0.2771,0.2771,5.0,0,0.65,5.56
257,0.5,2,C,C,3.0,3.0,3.0,3.0,0.2758,0.2758,6.0,1,0.65,5.56
258,0.5,2,C,C,3.0,3.0,3.0,3.0,0.2744,0.2744,6.0,1,0.65,5.56
259,0.5,2,C,C,3.0,3.0,3.0,3.0,0.273,0.273,6.0,1,0.65,5.56
260,0.5,2,C,C,3.0,3.0,3.0,3.0,0.2716,0.2716,6.0,1,0.65,5.56
261,0.5,2,C,C,3.0,3.0,3.0,3.0,0.2703,0.2703,6.0,1,0.66,5.57
262,0.5,2,C,C,3.0,3.0,3.0,3.0,0.2689,0.2689,6.0,1,0.66,5.57
263,0.5,2,C,C,3.0,3.0,3.0,3.0,0.2676,0.2676,6.0,1,0.66,5.57
264,0.5,2,C,C,3.0,3.0,3.0,3.0,0.2663,0.2663,6.0,1,0.67,5.58
265,0.5,2,C,C,3.0,3.0,3.0,3.0,0.2649,0.2649,6.0,1,0.68,5.59
266,0.5,2,C,C,3.0,3.0,3.0,3.0,0.2636,0.2636,6.0,1,0.69,5.6
267,0.5,2,C,C,3.0,3.0,3.0,3.0,0.2623,0.2623,6.0,1,0.69,5.6
268,0.5,2,C,C,3.0,3.0,3.0,3.0,0.261,0.261,6.0,1,0.69,5.6
269,0.5,2,C,C,3.0,3.0,3.0,3.0,0.2597,0.2597,6.0,1,0.7,5.61
270,0.5,2,C,D,0.0,5.0,2.5,2.5,0.2584,0.2584,5.0,0,0.7,5.61
271,0.5,2,C,C,3.0,3.0,3.0,3.0,0.2571,0.2571,6.0,1,0.71,5.62
272,0.5,2,C,C,3.0,3.0,3.0,3.0,0.2558,0.2558,6.0,1,0.72,5.63
273,0.5,2,C,D,0.0,5.0,2.5,2.5,0.2545,0.2545,5.0,0,0.71,5.62
274,0.5,2,C,C,3.0,3.0,3.0,3.0,0.2532,0.2532,6.0,1,0.72,5.63
275,0.5,2,C,C,3.0,3.0,3.0,3.0,0.252,0.252,6.0,1,0.73,5.64
276,0.5,2,C,C,3.0,3.0,3.0,3.0,0.2507,0.2507,6.0,1,0.73,5.64
277,0.5,2,D,C,5.0,0.0,2.5,2.5,0.2495,0.2495,5.0,0,0.73,5.64
278,0.5,2,C,C,3.0,3.0,3.0,3.0,0.2482,0.2482,6.0,1,0.74,5.65
