episode,alpha_emp,N,A1_action,A2_action,A3_action,A4_action,r1,r2,r3,r4,r1_shaped,r2_shaped,r3_shaped,r4_shaped,epsilon_A1,epsilon_A2,epsilon_A3,epsilon_A4,total_reward,coop_flag,moving_avg_coop,moving_avg_total_reward
23,1.0,4,C,C,D,D,1.0,1.0,3.6667,3.6667,1.0,1.0,3.6667,3.6667,0.8911,0.8911,0.8911,0.8911,9.3333,0,,
24,1.0,4,C,C,D,D,1.0,1.0,3.6667,3.6667,1.0,1.0,3.6667,3.6667,0.8867,0.8867,0.8867,0.8867,9.3333,0,,
25,1.0,4,C,D,C,D,1.0,3.6667,1.0,3.6667,1.0,3.6667,1.0,3.6667,0.8822,0.8822,0.8822,0.8822,9.3333,0,,
26,1.0,4,D,C,C,D,3.6667,1.0,1.0,3.6667,3.6667,1.0,1.0,3.6667,0.8778,0.8778,0.8778,0.8778,9.3333,0,,
27,1.0,4,D,C,C,D,3.6667,1.0,1.0,3.6667,3.6667,1.0,1.0,3.6667,0.8734,0.8734,0.8734,0.8734,9.3333,0,,
28,1.0,4,D,D,D,C,2.3333,2.3333,2.3333,0.0,2.3333,2.3333,2.3333,0.0,0.8691,0.8691,0.8691,0.8691,7.0,0,,
29,1.0,4,D,D,D,D,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8647,0.8647,0.8647,0.8647,4.0,0,,
30,1.0,4,C,C,D,C,2.0,2.0,5.0,2.0,2.0,2.0,5.0,2.0,0.8604,0.8604,0.8604,0.8604,11.0,0,,
31,1.0,4,C,D,D,D,0.0,2.3333,2.3333,2.3333,0.0,2.3333,2.3333,2.3333,0.8561,0.8561,0.8561,0.8561,7.0,0,,
32,1.0,4,C,C,C,C,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.8518,0.8518,0.8518,0.8518,12.0,1,,
33,1.0,4,D,C,C,D,3.6667,1.0,1.0,3.6667,3.6667,1.0,1.0,3.6667,0.8475,0.8475,0.8475,0.8475,9.3333,0,,
34,1.0,4,C,D,D,D,0.0,2.3333,2.3333,2.3333,0.0,2.3333,2.3333,2.3333,0.8433,0.8433,0.8433,0.8433,7.0,0,,
35,1.0,4,C,D,D,D,0.0,2.3333,2.3333,2.3333,0.0,2.3333,2.3333,2.3333,0.8391,0.8391,0.8391,0.8391,7.0,0,,
36,1.0,4,C,D,C,C,2.0,5.0,2.0,2.0,2.0,5.0,2.0,2.0,0.8349,0.8349,0.8349,0.8349,11.0,0,,
37,1.0,4,D,C,D,C,3.6667,1.0,3.6667,1.0,3.6667,1.0,3.6667,1.0,0.8307,0.8307,0.8307,0.8307,9.3333,0,,
38,1.0,4,C,C,D,C,2.0,2.0,5.0,2.0,2.0,2.0,5.0,2.0,0.8266,0.8266,0.8266,0.8266,11.0,0,,
39,1.0,4,D,D,D,D,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8224,0.8224,0.8224,0.8224,4.0,0,,
40,1.0,4,D,C,C,C,5.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,0.8183,0.8183,0.8183,0.8183,11.0,0,,
41,1.0,4,D,D,C,C,3.6667,3.6667,1.0,1.0,3.6667,3.6667,1.0,1.0,0.8142,0.8142,0.8142,0.8142,9.3333,0,,
42,1.0,4,C,D,C,C,2.0,5.0,2.0,2.0,2.0,5.0,2.0,2.0,0.8102,0.8102,0.8102,0.8102,11.0,0,,
43,1.0,4,D,D,D,C,2.3333,2.3333,2.3333,0.0,2.3333,2.3333,2.3333,0.0,0.8061,0.8061,0.8061,0.8061,7.0,0,,
44,1.0,4,D,D,D,D,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8021,0.8021,0.8021,0.8021,4.0,0,,
45,1.0,4,D,C,D,D,2.3333,0.0,2.3333,2.3333,2.3333,0.0,2.3333,2.3333,0.7981,0.7981,0.7981,0.7981,7.0,0,,
46,1.0,4,C,C,D,C,2.0,2.0,5.0,2.0,2.0,2.0,5.0,2.0,0.7941,0.7941,0.7941,0.7941,11.0,0,,
47,1.0,4,C,D,D,D,0.0,2.3333,2.3333,2.3333,0.0,2.3333,2.3333,2.3333,0.7901,0.7901,0.7901,0.7901,7.0,0,,
48,1.0,4,C,D,D,D,0.0,2.3333,2.3333,2.3333,0.0,2.3333,2.3333,2.3333,0.7862,0.7862,0.7862,0.7862,7.0,0,,
49,1.0,4,C,D,D,D,0.0,2.3333,2.3333,2.3333,0.0,2.3333,2.3333,2.3333,0.7822,0.7822,0.7822,0.7822,7.0,0,,
50,1.0,4,C,D,D,C,1.0,3.6667,3.6667,1.0,1.0,3.6667,3.6667,1.0,0.7783,0.7783,0.7783,0.7783,9.3333,0,,
51,1.0,4,D,C,C,D,3.6667,1.0,1.0,3.6667,3.6667,1.0,1.0,3.6667,0.7744,0.7744,0.7744,0.7744,9.3333,0,,
52,1.0,4,D,C,C,D,3.6667,1.0,1.0,3.6667,3.6667,1.0,1.0,3.6667,0.7705,0.7705,0.7705,0.7705,9.3333,0,,
53,1.0,4,C,D,D,C,1.0,3.6667,3.6667,1.0,1.0,3.6667,3.6667,1.0,0.7667,0.7667,0.7667,0.7667,9.3333,0,,
54,1.0,4,C,C,D,D,1.0,1.0,3.6667,3.6667,1.0,1.0,3.6667,3.6667,0.7629,0.7629,0.7629,0.7629,9.3333,0,,
55,1.0,4,D,D,C,D,2.3333,2.3333,0.0,2.3333,2.3333,2.3333,0.0,2.3333,0.759,0.759,0.759,0.759,7.0,0,,
56,1.0,4,C,C,D,C,2.0,2.0,5.0,2.0,2.0,2.0,5.0,2.0,0.7553,0.7553,0.7553,0.7553,11.0,0,,
57,1.0,4,D,D,C,D,2.3333,2.3333,0.0,2.3333,2.3333,2.3333,0.0,2.3333,0.7515,0.7515,0.7515,0.7515,7.0,0,,
58,1.0,4,C,C,C,C,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.7477,0.7477,0.7477,0.7477,12.0,1,,
59,1.0,4,D,D,D,C,2.3333,2.3333,2.3333,0.0,2.3333,2.3333,2.3333,0.0,0.744,0.744,0.744,0.744,7.0,0,,
60,1.0,4,D,C,D,D,2.3333,0.0,2.3333,2.3333,2.3333,0.0,2.3333,2.3333,0.7403,0.7403,0.7403,0.7403,7.0,0,,
61,1.0,4,C,C,C,D,2.0,2.0,2.0,5.0,2.0,2.0,2.0,5.0,0.7366,0.7366,0.7366,0.7366,11.0,0,,
62,1.0,4,C,D,D,D,0.0,2.3333,2.3333,2.3333,0.0,2.3333,2.3333,2.3333,0.7329,0.7329,0.7329,0.7329,7.0,0,,
63,1.0,4,C,D,D,D,0.0,2.3333,2.3333,2.3333,0.0,2.3333,2.3333,2.3333,0.7292,0.7292,0.7292,0.7292,7.0,0,,
64,1.0,4,C,D,D,D,0.0,2.3333,2.3333,2.3333,0.0,2.3333,2.3333,2.3333,0.7256,0.7256,0.7256,0.7256,7.0,0,,
65,1.0,4,C,C,C,D,2.0,2.0,2.0,5.0,2.0,2.0,2.0,5.0,0.7219,0.7219,0.7219,0.7219,11.0,0,,
66,1.0,4,D,C,D,D,2.3333,0.0,2.3333,2.3333,2.3333,0.0,2.3333,2.3333,0.7183,0.7183,0.7183,0.7183,7.0,0,,
67,1.0,4,D,D,D,D,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7147,0.7147,0.7147,0.7147,4.0,0,,
68,1.0,4,D,D,D,D,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7112,0.7112,0.7112,0.7112,4.0,0,,
69,1.0,4,C,C,C,D,2.0,2.0,2.0,5.0,2.0,2.0,2.0,5.0,0.7076,0.7076,0.7076,0.7076,11.0,0,,
70,1.0,4,C,D,C,D,1.0,3.6667,1.0,3.6667,1.0,3.6667,1.0,3.6667,0.7041,0.7041,0.7041,0.7041,9.3333,0,,
71,1.0,4,D,C,C,D,3.6667,1.0,1.0,3.6667,3.6667,1.0,1.0,3.6667,0.7005,0.7005,0.7005,0.7005,9.3333,0,,
72,1.0,4,D,C,C,C,5.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,0.697,0.697,0.697,0.697,11.0,0,,
73,1.0,4,D,C,C,C,5.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,0.6936,0.6936,0.6936,0.6936,11.0,0,,
74,1.0,4,D,C,C,D,3.6667,1.0,1.0,3.6667,3.6667,1.0,1.0,3.6667,0.6901,0.6901,0.6901,0.6901,9.3333,0,,
75,1.0,4,D,D,C,D,2.3333,2.3333,0.0,2.3333,2.3333,2.3333,0.0,2.3333,0.6866,0.6866,0.6866,0.6866,7.0,0,,
76,1.0,4,C,C,C,D,2.0,2.0,2.0,5.0,2.0,2.0,2.0,5.0,0.6832,0.6832,0.6832,0.6832,11.0,0,,
77,1.0,4,C,D,D,C,1.0,3.6667,3.6667,1.0,1.0,3.6667,3.6667,1.0,0.6798,0.6798,0.6798,0.6798,9.3333,0,,
78,1.0,4,D,C,D,D,2.3333,0.0,2.3333,2.3333,2.3333,0.0,2.3333,2.3333,0.6764,0.6764,0.6764,0.6764,7.0,0,,
79,1.0,4,D,C,D,C,3.6667,1.0,3.6667,1.0,3.6667,1.0,3.6667,1.0,0.673,0.673,0.673,0.673,9.3333,0,,
80,1.0,4,C,C,D,D,1.0,1.0,3.6667,3.6667,1.0,1.0,3.6667,3.6667,0.6696,0.6696,0.6696,0.6696,9.3333,0,,
81,1.0,4,C,D,D,D,0.0,2.3333,2.3333,2.3333,0.0,2.3333,2.3333,2.3333,0.6663,0.6663,0.6663,0.6663,7.0,0,,
82,1.0,4,C,D,D,C,1.0,3.6667,3.6667,1.0,1.0,3.6667,3.6667,1.0,0.663,0.663,0.663,0.663,9.3333,0,,
83,1.0,4,C,C,C,D,2.0,2.0,2.0,5.0,2.0,2.0,2.0,5.0,0.6597,0.6597,0.6597,0.6597,11.0,0,,
84,1.0,4,C,D,C,D,1.0,3.6667,1.0,3.6667,1.0,3.6667,1.0,3.6667,0.6564,0.6564,0.6564,0.6564,9.3333,0,,
85,1.0,4,C,C,C,C,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.6531,0.6531,0.6531,0.6531,12.0,1,,
86,1.0,4,D,D,C,C,3.6667,3.6667,1.0,1.0,3.6667,3.6667,1.0,1.0,0.6498,0.6498,0.6498,0.6498,9.3333,0,,
87,1.0,4,D,C,C,D,3.6667,1.0,1.0,3.6667,3.6667,1.0,1.0,3.6667,0.6466,0.6466,0.6466,0.6466,9.3333,0,,
88,1.0,4,D,C,D,D,2.3333,0.0,2.3333,2.3333,2.3333,0.0,2.3333,2.3333,0.6433,0.6433,0.6433,0.6433,7.0,0,,
89,1.0,4,D,C,D,D,2.3333,0.0,2.3333,2.3333,2.3333,0.0,2.3333,2.3333,0.6401,0.6401,0.6401,0.6401,7.0,0,,
90,1.0,4,D,C,D,D,2.3333,0.0,2.3333,2.3333,2.3333,0.0,2.3333,2.3333,0.6369,0.6369,0.6369,0.6369,7.0,0,,
91,1.0,4,D,C,D,C,3.6667,1.0,3.6667,1.0,3.6667,1.0,3.6667,1.0,0.6337,0.6337,0.6337,0.6337,9.3333,0,,
92,1.0,4,D,C,D,D,2.3333,0.0,2.3333,2.3333,2.3333,0.0,2.3333,2.3333,0.6306,0.6306,0.6306,0.6306,7.0,0,,
93,1.0,4,D,D,D,D,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6274,0.6274,0.6274,0.6274,4.0,0,,
94,1.0,4,C,D,D,C,1.0,3.6667,3.6667,1.0,1.0,3.6667,3.6667,1.0,0.6243,0.6243,0.6243,0.6243,9.3333,0,,
95,1.0,4,D,D,D,D,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6211,0.6211,0.6211,0.6211,4.0,0,,
96,1.0,4,D,D,D,D,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.618,0.618,0.618,0.618,4.0,0,,
97,1.0,4,D,C,D,D,2.3333,0.0,2.3333,2.3333,2.3333,0.0,2.3333,2.3333,0.6149,0.6149,0.6149,0.6149,7.0,0,,
98,1.0,4,C,C,D,D,1.0,1.0,3.6667,3.6667,1.0,1.0,3.6667,3.6667,0.6119,0.6119,0.6119,0.6119,9.3333,0,,
99,1.0,4,C,C,C,D,2.0,2.0,2.0,5.0,2.0,2.0,2.0,5.0,0.6088,0.6088,0.6088,0.6088,11.0,0,,
100,1.0,4,D,D,D,D,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6058,0.6058,0.6058,0.6058,4.0,0,0.04,8.5267
101,1.0,4,C,C,D,D,1.0,1.0,3.6667,3.6667,1.0,1.0,3.6667,3.6667,0.6027,0.6027,0.6027,0.6027,9.3333,0,0.04,8.51
102,1.0,4,C,D,D,D,0.0,2.3333,2.3333,2.3333,0.0,2.3333,2.3333,2.3333,0.5997,0.5997,0.5997,0.5997,7.0,0,0.04,8.4867
103,1.0,4,C,D,D,D,0.0,2.3333,2.3333,2.3333,0.0,2.3333,2.3333,2.3333,0.5967,0.5967,0.5967,0.5967,7.0,0,0.03,8.4367
104,1.0,4,C,D,D,C,1.0,3.6667,3.6667,1.0,1.0,3.6667,3.6667,1.0,0.5937,0.5937,0.5937,0.5937,9.3333,0,0.03,8.42
105,1.0,4,D,C,D,D,2.3333,0.0,2.3333,2.3333,2.3333,0.0,2.3333,2.3333,0.5908,0.5908,0.5908,0.5908,7.0,0,0.03,8.3967
106,1.0,4,D,C,D,C,3.6667,1.0,3.6667,1.0,3.6667,1.0,3.6667,1.0,0.5878,0.5878,0.5878,0.5878,9.3333,0,0.03,8.3967
107,1.0,4,D,C,D,D,2.3333,0.0,2.3333,2.3333,2.3333,0.0,2.3333,2.3333,0.5849,0.5849,0.5849,0.5849,7.0,0,0.03,8.3567
108,1.0,4,D,C,C,D,3.6667,1.0,1.0,3.6667,3.6667,1.0,1.0,3.6667,0.582,0.582,0.582,0.582,9.3333,0,0.03,8.3567
109,1.0,4,D,C,D,D,2.3333,0.0,2.3333,2.3333,2.3333,0.0,2.3333,2.3333,0.579,0.579,0.579,0.579,7.0,0,0.03,8.3333
110,1.0,4,D,C,C,D,3.6667,1.0,1.0,3.6667,3.6667,1.0,1.0,3.6667,0.5762,0.5762,0.5762,0.5762,9.3333,0,0.03,8.3333
111,1.0,4,D,D,D,C,2.3333,2.3333,2.3333,0.0,2.3333,2.3333,2.3333,0.0,0.5733,0.5733,0.5733,0.5733,7.0,0,0.03,8.31
112,1.0,4,C,C,D,D,1.0,1.0,3.6667,3.6667,1.0,1.0,3.6667,3.6667,0.5704,0.5704,0.5704,0.5704,9.3333,0,0.03,8.3333
113,1.0,4,C,D,C,D,1.0,3.6667,1.0,3.6667,1.0,3.6667,1.0,3.6667,0.5676,0.5676,0.5676,0.5676,9.3333,0,0.03,8.3567
114,1.0,4,D,C,C,D,3.6667,1.0,1.0,3.6667,3.6667,1.0,1.0,3.6667,0.5647,0.5647,0.5647,0.5647,9.3333,0,0.03,8.38
115,1.0,4,D,D,C,D,2.3333,2.3333,0.0,2.3333,2.3333,2.3333,0.0,2.3333,0.5619,0.5619,0.5619,0.5619,7.0,0,0.03,8.3567
116,1.0,4,C,D,C,C,2.0,5.0,2.0,2.0,2.0,5.0,2.0,2.0,0.5591,0.5591,0.5591,0.5591,11.0,0,0.03,8.3967
117,1.0,4,C,D,D,D,0.0,2.3333,2.3333,2.3333,0.0,2.3333,2.3333,2.3333,0.5563,0.5563,0.5563,0.5563,7.0,0,0.03,8.3567
118,1.0,4,C,D,D,D,0.0,2.3333,2.3333,2.3333,0.0,2.3333,2.3333,2.3333,0.5535,0.5535,0.5535,0.5535,7.0,0,0.03,8.3167
119,1.0,4,C,D,D,D,0.0,2.3333,2.3333,2.3333,0.0,2.3333,2.3333,2.3333,0.5507,0.5507,0.5507,0.5507,7.0,0,0.03,8.2933
120,1.0,4,C,C,C,C,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.548,0.548,0.548,0.548,12.0,1,0.04,8.3733
121,1.0,4,D,D,C,D,2.3333,2.3333,0.0,2.3333,2.3333,2.3333,0.0,2.3333,0.5452,0.5452,0.5452,0.5452,7.0,0,0.04,8.4033
122,1.0,4,C,C,D,C,2.0,2.0,5.0,2.0,2.0,2.0,5.0,2.0,0.5425,0.5425,0.5425,0.5425,11.0,0,0.04,8.4033
123,1.0,4,D,C,C,D,3.6667,1.0,1.0,3.6667,3.6667,1.0,1.0,3.6667,0.5398,0.5398,0.5398,0.5398,9.3333,0,0.04,8.4033
124,1.0,4,D,C,D,D,2.3333,0.0,2.3333,2.3333,2.3333,0.0,2.3333,2.3333,0.5371,0.5371,0.5371,0.5371,7.0,0,0.04,8.38
125,1.0,4,D,C,C,D,3.6667,1.0,1.0,3.6667,3.6667,1.0,1.0,3.6667,0.5344,0.5344,0.5344,0.5344,9.3333,0,0.04,8.38
126,1.0,4,D,C,D,C,3.6667,1.0,3.6667,1.0,3.6667,1.0,3.6667,1.0,0.5318,0.5318,0.5318,0.5318,9.3333,0,0.04,8.38
127,1.0,4,D,C,D,D,2.3333,0.0,2.3333,2.3333,2.3333,0.0,2.3333,2.3333,0.5291,0.5291,0.5291,0.5291,7.0,0,0.04,8.3567
128,1.0,4,C,C,D,D,1.0,1.0,3.6667,3.6667,1.0,1.0,3.6667,3.6667,0.5264,0.5264,0.5264,0.5264,9.3333,0,0.04,8.38
129,1.0,4,C,D,D,C,1.0,3.6667,3.6667,1.0,1.0,3.6667,3.6667,1.0,0.5238,0.5238,0.5238,0.5238,9.3333,0,0.04,8.4333
130,1.0,4,C,D,C,D,1.0,3.6667,1.0,3.6667,1.0,3.6667,1.0,3.6667,0.5212,0.5212,0.5212,0.5212,9.3333,0,0.04,8.4167
131,1.0,4,C,C,C,D,2.0,2.0,2.0,5.0,2.0,2.0,2.0,5.0,0.5186,0.5186,0.5186,0.5186,11.0,0,0.04,8.4567
132,1.0,4,C,C,C,D,2.0,2.0,2.0,5.0,2.0,2.0,2.0,5.0,0.516,0.516,0.516,0.516,11.0,0,0.03,8.4467
133,1.0,4,C,C,D,C,2.0,2.0,5.0,2.0,2.0,2.0,5.0,2.0,0.5134,0.5134,0.5134,0.5134,11.0,0,0.03,8.4633
134,1.0,4,D,C,D,D,2.3333,0.0,2.3333,2.3333,2.3333,0.0,2.3333,2.3333,0.5108,0.5108,0.5108,0.5108,7.0,0,0.03,8.4633
135,1.0,4,D,C,C,D,3.6667,1.0,1.0,3.6667,3.6667,1.0,1.0,3.6667,0.5083,0.5083,0.5083,0.5083,9.3333,0,0.03,8.4867
136,1.0,4,D,D,D,D,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5058,0.5058,0.5058,0.5058,4.0,0,0.03,8.4167
137,1.0,4,D,C,C,C,5.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,0.5032,0.5032,0.5032,0.5032,11.0,0,0.03,8.4333
138,1.0,4,D,C,D,D,2.3333,0.0,2.3333,2.3333,2.3333,0.0,2.3333,2.3333,0.5007,0.5007,0.5007,0.5007,7.0,0,0.03,8.3933
139,1.0,4,D,C,D,D,2.3333,0.0,2.3333,2.3333,2.3333,0.0,2.3333,2.3333,0.4982,0.4982,0.4982,0.4982,7.0,0,0.03,8.4233
140,1.0,4,C,D,D,D,0.0,2.3333,2.3333,2.3333,0.0,2.3333,2.3333,2.3333,0.4957,0.4957,0.4957,0.4957,7.0,0,0.03,8.3833
141,1.0,4,C,D,D,D,0.0,2.3333,2.3333,2.3333,0.0,2.3333,2.3333,2.3333,0.4932,0.4932,0.4932,0.4932,7.0,0,0.03,8.36
142,1.0,4,C,D,D,D,0.0,2.3333,2.3333,2.3333,0.0,2.3333,2.3333,2.3333,0.4908,0.4908,0.4908,0.4908,7.0,0,0.03,8.32
143,1.0,4,C,D,D,D,0.0,2.3333,2.3333,2.3333,0.0,2.3333,2.3333,2.3333,0.4883,0.4883,0.4883,0.4883,7.0,0,0.03,8.32
144,1.0,4,C,D,D,D,0.0,2.3333,2.3333,2.3333,0.0,2.3333,2.3333,2.3333,0.4859,0.4859,0.4859,0.4859,7.0,0,0.03,8.35
145,1.0,4,C,D,C,D,1.0,3.6667,1.0,3.6667,1.0,3.6667,1.0,3.6667,0.4834,0.4834,0.4834,0.4834,9.3333,0,0.03,8.3733
146,1.0,4,D,C,C,D,3.6667,1.0,1.0,3.6667,3.6667,1.0,1.0,3.6667,0.481,0.481,0.481,0.481,9.3333,0,0.03,8.3567
147,1.0,4,D,D,D,D,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4786,0.4786,0.4786,0.4786,4.0,0,0.03,8.3267
148,1.0,4,D,D,D,D,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4762,0.4762,0.4762,0.4762,4.0,0,0.03,8.2967
149,1.0,4,C,C,D,D,1.0,1.0,3.6667,3.6667,1.0,1.0,3.6667,3.6667,0.4738,0.4738,0.4738,0.4738,9.3333,0,0.03,8.32
150,1.0,4,C,D,D,D,0.0,2.3333,2.3333,2.3333,0.0,2.3333,2.3333,2.3333,0.4715,0.4715,0.4715,0.4715,7.0,0,0.03,8.2967
151,1.0,4,D,C,D,D,2.3333,0.0,2.3333,2.3333,2.3333,0.0,2.3333,2.3333,0.4691,0.4691,0.4691,0.4691,7.0,0,0.03,8.2733
152,1.0,4,D,C,D,C,3.6667,1.0,3.6667,1.0,3.6667,1.0,3.6667,1.0,0.4668,0.4668,0.4668,0.4668,9.3333,0,0.03,8.2733
153,1.0,4,D,D,D,D,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4644,0.4644,0.4644,0.4644,4.0,0,0.03,8.22
154,1.0,4,C,D,D,D,0.0,2.3333,2.3333,2.3333,0.0,2.3333,2.3333,2.3333,0.4621,0.4621,0.4621,0.4621,7.0,0,0.03,8.1967
155,1.0,4,C,C,D,C,2.0,2.0,5.0,2.0,2.0,2.0,5.0,2.0,0.4598,0.4598,0.4598,0.4598,11.0,0,0.03,8.2367
156,1.0,4,D,D,D,C,2.3333,2.3333,2.3333,0.0,2.3333,2.3333,2.3333,0.0,0.4575,0.4575,0.4575,0.4575,7.0,0,0.03,8.1967
157,1.0,4,C,C,D,D,1.0,1.0,3.6667,3.6667,1.0,1.0,3.6667,3.6667,0.4552,0.4552,0.4552,0.4552,9.3333,0,0.03,8.22
158,1.0,4,C,C,D,D,1.0,1.0,3.6667,3.6667,1.0,1.0,3.6667,3.6667,0.4529,0.4529,0.4529,0.4529,9.3333,0,0.02,8.1933
159,1.0,4,C,D,D,D,0.0,2.3333,2.3333,2.3333,0.0,2.3333,2.3333,2.3333,0.4507,0.4507,0.4507,0.4507,7.0,0,0.02,8.1933
160,1.0,4,C,C,C,D,2.0,2.0,2.0,5.0,2.0,2.0,2.0,5.0,0.4484,0.4484,0.4484,0.4484,11.0,0,0.02,8.2333
161,1.0,4,D,C,D,D,2.3333,0.0,2.3333,2.3333,2.3333,0.0,2.3333,2.3333,0.4462,0.4462,0.4462,0.4462,7.0,0,0.02,8.1933
162,1.0,4,D,C,C,D,3.6667,1.0,1.0,3.6667,3.6667,1.0,1.0,3.6667,0.444,0.444,0.444,0.444,9.3333,0,0.02,8.2167
163,1.0,4,D,D,D,D,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4417,0.4417,0.4417,0.4417,4.0,0,0.02,8.1867
164,1.0,4,D,D,D,D,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4395,0.4395,0.4395,0.4395,4.0,0,0.02,8.1567
165,1.0,4,D,D,D,D,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4373,0.4373,0.4373,0.4373,4.0,0,0.02,8.0867
166,1.0,4,D,D,D,D,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4351,0.4351,0.4351,0.4351,4.0,0,0.02,8.0567
167,1.0,4,D,D,D,D,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.433,0.433,0.433,0.433,4.0,0,0.02,8.0567
