episode,alpha_emp,N,A1_action,A2_action,r1,r2,r1_shaped,r2_shaped,epsilon_A1,epsilon_A2,total_reward,coop_flag,moving_avg_coop,moving_avg_total_reward
109,1.0,2,D,C,5.0,0.0,5.0,0.0,0.579,0.579,5.0,0,0.16,4.17
110,1.0,2,D,D,1.0,1.0,1.0,1.0,0.5762,0.5762,2.0,0,0.16,4.14
111,1.0,2,D,D,1.0,1.0,1.0,1.0,0.5733,0.5733,2.0,0,0.16,4.11
112,1.0,2,C,C,3.0,3.0,3.0,3.0,0.5704,0.5704,6.0,1,0.17,4.15
113,1.0,2,D,D,1.0,1.0,1.0,1.0,0.5676,0.5676,2.0,0,0.17,4.12
114,1.0,2,D,D,1.0,1.0,1.0,1.0,0.5647,0.5647,2.0,0,0.16,4.08
115,1.0,2,D,D,1.0,1.0,1.0,1.0,0.5619,0.5619,2.0,0,0.16,4.05
116,1.0,2,C,D,0.0,5.0,0.0,5.0,0.5591,0.5591,5.0,0,0.16,4.08
117,1.0,2,C,D,0.0,5.0,0.0,5.0,0.5563,0.5563,5.0,0,0.15,4.07
118,1.0,2,D,D,1.0,1.0,1.0,1.0,0.5535,0.5535,2.0,0,0.14,4.03
119,1.0,2,D,D,1.0,1.0,1.0,1.0,0.5507,0.5507,2.0,0,0.14,4.03
120,1.0,2,C,C,3.0,3.0,3.0,3.0,0.548,0.548,6.0,1,0.15,4.07
121,1.0,2,D,D,1.0,1.0,1.0,1.0,0.5452,0.5452,2.0,0,0.15,4.07
122,1.0,2,D,C,5.0,0.0,5.0,0.0,0.5425,0.5425,5.0,0,0.15,4.07
123,1.0,2,D,C,5.0,0.0,5.0,0.0,0.5398,0.5398,5.0,0,0.14,4.06
124,1.0,2,D,C,5.0,0.0,5.0,0.0,0.5371,0.5371,5.0,0,0.13,4.05
125,1.0,2,D,D,1.0,1.0,1.0,1.0,0.5344,0.5344,2.0,0,0.13,4.02
126,1.0,2,D,C,5.0,0.0,5.0,0.0,0.5318,0.5318,5.0,0,0.13,4.02
127,1.0,2,D,C,5.0,0.0,5.0,0.0,0.5291,0.5291,5.0,0,0.13,4.02
128,1.0,2,C,C,3.0,3.0,3.0,3.0,0.5264,0.5264,6.0,1,0.14,4.06
129,1.0,2,C,D,0.0,5.0,0.0,5.0,0.5238,0.5238,5.0,0,0.14,4.09
130,1.0,2,C,D,0.0,5.0,0.0,5.0,0.5212,0.5212,5.0,0,0.13,4.08
131,1.0,2,C,C,3.0,3.0,3.0,3.0,0.5186,0.5186,6.0,1,0.14,4.09
132,1.0,2,D,C,5.0,0.0,5.0,0.0,0.516,0.516,5.0,0,0.13,4.08
133,1.0,2,D,C,5.0,0.0,5.0,0.0,0.5134,0.5134,5.0,0,0.13,4.08
134,1.0,2,D,C,5.0,0.0,5.0,0.0,0.5108,0.5108,5.0,0,0.13,4.08
135,1.0,2,D,D,1.0,1.0,1.0,1.0,0.5083,0.5083,2.0,0,0.13,4.05
136,1.0,2,D,D,1.0,1.0,1.0,1.0,0.5058,0.5058,2.0,0,0.13,4.02
137,1.0,2,D,C,5.0,0.0,5.0,0.0,0.5032,0.5032,5.0,0,0.13,4.02
138,1.0,2,D,C,5.0,0.0,5.0,0.0,0.5007,0.5007,5.0,0,0.12,4.01
139,1.0,2,D,C,5.0,0.0,5.0,0.0,0.4982,0.4982,5.0,0,0.12,4.04
140,1.0,2,C,D,0.0,5.0,0.0,5.0,0.4957,0.4957,5.0,0,0.12,4.04
141,1.0,2,D,D,1.0,1.0,1.0,1.0,0.4932,0.4932,2.0,0,0.12,4.04
142,1.0,2,C,D,0.0,5.0,0.0,5.0,0.4908,0.4908,5.0,0,0.12,4.04
143,1.0,2,D,D,1.0,1.0,1.0,1.0,0.4883,0.4883,2.0,0,0.12,4.04
144,1.0,2,D,D,1.0,1.0,1.0,1.0,0.4859,0.4859,2.0,0,0.12,4.04
145,1.0,2,D,D,1.0,1.0,1.0,1.0,0.4834,0.4834,2.0,0,0.12,4.01
146,1.0,2,D,C,5.0,0.0,5.0,0.0,0.481,0.481,5.0,0,0.11,4.0
147,1.0,2,D,D,1.0,1.0,1.0,1.0,0.4786,0.4786,2.0,0,0.11,3.97
148,1.0,2,D,D,1.0,1.0,1.0,1.0,0.4762,0.4762,2.0,0,0.11,3.94
149,1.0,2,C,C,3.0,3.0,3.0,3.0,0.4738,0.4738,6.0,1,0.12,3.95
150,1.0,2,D,D,1.0,1.0,1.0,1.0,0.4715,0.4715,2.0,0,0.12,3.92
151,1.0,2,D,C,5.0,0.0,5.0,0.0,0.4691,0.4691,5.0,0,0.12,3.92
152,1.0,2,D,C,5.0,0.0,5.0,0.0,0.4668,0.4668,5.0,0,0.12,3.92
153,1.0,2,D,D,1.0,1.0,1.0,1.0,0.4644,0.4644,2.0,0,0.12,3.89
154,1.0,2,C,D,0.0,5.0,0.0,5.0,0.4621,0.4621,5.0,0,0.11,3.88
155,1.0,2,D,C,5.0,0.0,5.0,0.0,0.4598,0.4598,5.0,0,0.11,3.91
156,1.0,2,D,D,1.0,1.0,1.0,1.0,0.4575,0.4575,2.0,0,0.11,3.88
157,1.0,2,C,C,3.0,3.0,3.0,3.0,0.4552,0.4552,6.0,1,0.12,3.92
158,1.0,2,C,C,3.0,3.0,3.0,3.0,0.4529,0.4529,6.0,1,0.13,3.93
159,1.0,2,D,D,1.0,1.0,1.0,1.0,0.4507,0.4507,2.0,0,0.13,3.93
160,1.0,2,D,C,5.0,0.0,5.0,0.0,0.4484,0.4484,5.0,0,0.13,3.93
161,1.0,2,D,C,5.0,0.0,5.0,0.0,0.4462,0.4462,5.0,0,0.12,3.92
162,1.0,2,D,D,1.0,1.0,1.0,1.0,0.444,0.444,2.0,0,0.12,3.92
163,1.0,2,D,D,1.0,1.0,1.0,1.0,0.4417,0.4417,2.0,0,0.12,3.92
164,1.0,2,D,D,1.0,1.0,1.0,1.0,0.4395,0.4395,2.0,0,0.12,3.89
165,1.0,2,D,D,1.0,1.0,1.0,1.0,0.4373,0.4373,2.0,0,0.11,3.85
166,1.0,2,D,D,1.0,1.0,1.0,1.0,0.4351,0.4351,2.0,0,0.11,3.82
167,1.0,2,D,D,1.0,1.0,1.0,1.0,0.433,0.433,2.0,0,0.11,3.82
168,1.0,2,D,C,5.0,0.0,5.0,0.0,0.4308,0.4308,5.0,0,0.11,3.85
169,1.0,2,C,D,0.0,5.0,0.0,5.0,0.4286,0.4286,5.0,0,0.1,3.84
170,1.0,2,C,D,0.0,5.0,0.0,5.0,0.4265,0.4265,5.0,0,0.1,3.87
171,1.0,2,D,D,1.0,1.0,1.0,1.0,0.4244,0.4244,2.0,0,0.1,3.84
172,1.0,2,D,C,5.0,0.0,5.0,0.0,0.4223,0.4223,5.0,0,0.1,3.84
173,1.0,2,C,D,0.0,5.0,0.0,5.0,0.4201,0.4201,5.0,0,0.1,3.84
174,1.0,2,C,D,0.0,5.0,0.0,5.0,0.418,0.418,5.0,0,0.1,3.84
175,1.0,2,D,D,1.0,1.0,1.0,1.0,0.4159,0.4159,2.0,0,0.1,3.84
176,1.0,2,D,C,5.0,0.0,5.0,0.0,0.4139,0.4139,5.0,0,0.1,3.87
177,1.0,2,D,D,1.0,1.0,1.0,1.0,0.4118,0.4118,2.0,0,0.1,3.87
178,1.0,2,D,D,1.0,1.0,1.0,1.0,0.4097,0.4097,2.0,0,0.1,3.84
179,1.0,2,D,C,5.0,0.0,5.0,0.0,0.4077,0.4077,5.0,0,0.1,3.84
180,1.0,2,D,D,1.0,1.0,1.0,1.0,0.4057,0.4057,2.0,0,0.09,3.8
181,1.0,2,D,D,1.0,1.0,1.0,1.0,0.4036,0.4036,2.0,0,0.09,3.77
182,1.0,2,D,D,1.0,1.0,1.0,1.0,0.4016,0.4016,2.0,0,0.09,3.74
183,1.0,2,D,D,1.0,1.0,1.0,1.0,0.3996,0.3996,2.0,0,0.09,3.71
184,1.0,2,D,D,1.0,1.0,1.0,1.0,0.3976,0.3976,2.0,0,0.09,3.68
185,1.0,2,C,D,0.0,5.0,0.0,5.0,0.3956,0.3956,5.0,0,0.09,3.68
186,1.0,2,D,C,5.0,0.0,5.0,0.0,0.3936,0.3936,5.0,0,0.09,3.71
187,1.0,2,C,D,0.0,5.0,0.0,5.0,0.3917,0.3917,5.0,0,0.09,3.71
188,1.0,2,C,D,0.0,5.0,0.0,5.0,0.3897,0.3897,5.0,0,0.09,3.71
189,1.0,2,D,D,1.0,1.0,1.0,1.0,0.3878,0.3878,2.0,0,0.09,3.71
190,1.0,2,D,D,1.0,1.0,1.0,1.0,0.3858,0.3858,2.0,0,0.09,3.71
191,1.0,2,D,C,5.0,0.0,5.0,0.0,0.3839,0.3839,5.0,0,0.09,3.71
192,1.0,2,D,C,5.0,0.0,5.0,0.0,0.382,0.382,5.0,0,0.09,3.71
193,1.0,2,D,D,1.0,1.0,1.0,1.0,0.3801,0.3801,2.0,0,0.09,3.71
194,1.0,2,D,D,1.0,1.0,1.0,1.0,0.3782,0.3782,2.0,0,0.09,3.68
195,1.0,2,D,D,1.0,1.0,1.0,1.0,0.3763,0.3763,2.0,0,0.09,3.68
196,1.0,2,D,C,5.0,0.0,5.0,0.0,0.3744,0.3744,5.0,0,0.09,3.71
197,1.0,2,D,D,1.0,1.0,1.0,1.0,0.3725,0.3725,2.0,0,0.09,3.68
198,1.0,2,D,D,1.0,1.0,1.0,1.0,0.3707,0.3707,2.0,0,0.09,3.65
199,1.0,2,C,D,0.0,5.0,0.0,5.0,0.3688,0.3688,5.0,0,0.08,3.64
200,1.0,2,D,C,5.0,0.0,5.0,0.0,0.367,0.367,5.0,0,0.08,3.67
201,1.0,2,D,D,1.0,1.0,1.0,1.0,0.3651,0.3651,2.0,0,0.07,3.63
202,1.0,2,D,D,1.0,1.0,1.0,1.0,0.3633,0.3633,2.0,0,0.07,3.6
203,1.0,2,D,C,5.0,0.0,5.0,0.0,0.3615,0.3615,5.0,0,0.07,3.6
204,1.0,2,D,C,5.0,0.0,5.0,0.0,0.3597,0.3597,5.0,0,0.07,3.63
205,1.0,2,D,C,5.0,0.0,5.0,0.0,0.3579,0.3579,5.0,0,0.07,3.66
206,1.0,2,C,D,0.0,5.0,0.0,5.0,0.3561,0.3561,5.0,0,0.07,3.66
207,1.0,2,D,D,1.0,1.0,1.0,1.0,0.3543,0.3543,2.0,0,0.07,3.66
208,1.0,2,D,D,1.0,1.0,1.0,1.0,0.3525,0.3525,2.0,0,0.07,3.66
209,1.0,2,C,D,0.0,5.0,0.0,5.0,0.3508,0.3508,5.0,0,0.07,3.66
210,1.0,2,D,D,1.0,1.0,1.0,1.0,0.349,0.349,2.0,0,0.07,3.66
211,1.0,2,D,D,1.0,1.0,1.0,1.0,0.3473,0.3473,2.0,0,0.07,3.66
212,1.0,2,D,D,1.0,1.0,1.0,1.0,0.3455,0.3455,2.0,0,0.06,3.62
213,1.0,2,D,D,1.0,1.0,1.0,1.0,0.3438,0.3438,2.0,0,0.06,3.62
214,1.0,2,C,D,0.0,5.0,0.0,5.0,0.3421,0.3421,5.0,0,0.06,3.65
215,1.0,2,D,D,1.0,1.0,1.0,1.0,0.3404,0.3404,2.0,0,0.06,3.65
216,1.0,2,D,D,1.0,1.0,1.0,1.0,0.3387,0.3387,2.0,0,0.06,3.62
217,1.0,2,D,D,1.0,1.0,1.0,1.0,0.337,0.337,2.0,0,0.06,3.59
218,1.0,2,C,D,0.0,5.0,0.0,5.0,0.3353,0.3353,5.0,0,0.06,3.62
219,1.0,2,D,D,1.0,1.0,1.0,1.0,0.3336,0.3336,2.0,0,0.06,3.62
220,1.0,2,D,C,5.0,0.0,5.0,0.0,0.332,0.332,5.0,0,0.05,3.61
221,1.0,2,D,C,5.0,0.0,5.0,0.0,0.3303,0.3303,5.0,0,0.05,3.64
222,1.0,2,D,D,1.0,1.0,1.0,1.0,0.3286,0.3286,2.0,0,0.05,3.61
223,1.0,2,D,D,1.0,1.0,1.0,1.0,0.327,0.327,2.0,0,0.05,3.58
224,1.0,2,D,D,1.0,1.0,1.0,1.0,0.3254,0.3254,2.0,0,0.05,3.55
225,1.0,2,D,D,1.0,1.0,1.0,1.0,0.3237,0.3237,2.0,0,0.05,3.55
226,1.0,2,D,D,1.0,1.0,1.0,1.0,0.3221,0.3221,2.0,0,0.05,3.52
227,1.0,2,D,D,1.0,1.0,1.0,1.0,0.3205,0.3205,2.0,0,0.05,3.49
228,1.0,2,D,D,1.0,1.0,1.0,1.0,0.3189,0.3189,2.0,0,0.04,3.45
229,1.0,2,D,D,1.0,1.0,1.0,1.0,0.3173,0.3173,2.0,0,0.04,3.42
230,1.0,2,D,C,5.0,0.0,5.0,0.0,0.3157,0.3157,5.0,0,0.04,3.42
231,1.0,2,D,C,5.0,0.0,5.0,0.0,0.3141,0.3141,5.0,0,0.03,3.41
232,1.0,2,D,D,1.0,1.0,1.0,1.0,0.3126,0.3126,2.0,0,0.03,3.38
233,1.0,2,C,C,3.0,3.0,3.0,3.0,0.311,0.311,6.0,1,0.04,3.39
234,1.0,2,D,D,1.0,1.0,1.0,1.0,0.3095,0.3095,2.0,0,0.04,3.36
235,1.0,2,D,C,5.0,0.0,5.0,0.0,0.3079,0.3079,5.0,0,0.04,3.39
236,1.0,2,D,D,1.0,1.0,1.0,1.0,0.3064,0.3064,2.0,0,0.04,3.39
237,1.0,2,D,D,1.0,1.0,1.0,1.0,0.3048,0.3048,2.0,0,0.04,3.36
238,1.0,2,D,D,1.0,1.0,1.0,1.0,0.3033,0.3033,2.0,0,0.04,3.33
239,1.0,2,D,D,1.0,1.0,1.0,1.0,0.3018,0.3018,2.0,0,0.04,3.3
240,1.0,2,D,D,1.0,1.0,1.0,1.0,0.3003,0.3003,2.0,0,0.04,3.27
241,1.0,2,D,D,1.0,1.0,1.0,1.0,0.2988,0.2988,2.0,0,0.04,3.27
242,1.0,2,D,D,1.0,1.0,1.0,1.0,0.2973,0.2973,2.0,0,0.04,3.24
243,1.0,2,D,D,1.0,1.0,1.0,1.0,0.2958,0.2958,2.0,0,0.04,3.24
244,1.0,2,D,D,1.0,1.0,1.0,1.0,0.2943,0.2943,2.0,0,0.04,3.24
245,1.0,2,D,D,1.0,1.0,1.0,1.0,0.2929,0.2929,2.0,0,0.04,3.24
246,1.0,2,D,D,1.0,1.0,1.0,1.0,0.2914,0.2914,2.0,0,0.04,3.21
247,1.0,2,D,C,5.0,0.0,5.0,0.0,0.2899,0.2899,5.0,0,0.04,3.24
248,1.0,2,D,D,1.0,1.0,1.0,1.0,0.2885,0.2885,2.0,0,0.04,3.24
249,1.0,2,D,D,1.0,1.0,1.0,1.0,0.287,0.287,2.0,0,0.03,3.2
250,1.0,2,D,D,1.0,1.0,1.0,1.0,0.2856,0.2856,2.0,0,0.03,3.2
251,1.0,2,D,D,1.0,1.0,1.0,1.0,0.2842,0.2842,2.0,0,0.03,3.17
252,1.0,2,D,D,1.0,1.0,1.0,1.0,0.2828,0.2828,2.0,0,0.03,3.14
253,1.0,2,D,D,1.0,1.0,1.0,1.0,0.2813,0.2813,2.0,0,0.03,3.14
254,1.0,2,D,D,1.0,1.0,1.0,1.0,0.2799,0.2799,2.0,0,0.03,3.11
255,1.0,2,D,D,1.0,1.0,1.0,1.0,0.2785,0.2785,2.0,0,0.03,3.08
256,1.0,2,D,D,1.0,1.0,1.0,1.0,0.2771,0.2771,2.0,0,0.03,3.08
257,1.0,2,D,D,1.0,1.0,1.0,1.0,0.2758,0.2758,2.0,0,0.02,3.04
