episode,alpha_emp,N,A1_action,A2_action,A3_action,A4_action,r1,r2,r3,r4,r1_shaped,r2_shaped,r3_shaped,r4_shaped,epsilon_A1,epsilon_A2,epsilon_A3,epsilon_A4,total_reward,coop_flag,moving_avg_coop,moving_avg_total_reward
202,0.8,4,D,D,D,D,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3633,0.3633,0.3633,0.3633,4.0,0,0.02,8.0333
203,0.8,4,D,C,D,C,3.6667,1.0,3.6667,1.0,3.3111,1.3556,3.3111,1.3556,0.3615,0.3615,0.3615,0.3615,9.3333,0,0.02,8.0567
204,0.8,4,D,C,C,D,3.6667,1.0,1.0,3.6667,3.3111,1.3556,1.3556,3.3111,0.3597,0.3597,0.3597,0.3597,9.3333,0,0.02,8.0567
205,0.8,4,D,C,C,D,3.6667,1.0,1.0,3.6667,3.3111,1.3556,1.3556,3.3111,0.3579,0.3579,0.3579,0.3579,9.3333,0,0.02,8.11
206,0.8,4,C,D,C,C,2.0,5.0,2.0,2.0,2.2,4.4,2.2,2.2,0.3561,0.3561,0.3561,0.3561,11.0,0,0.02,8.1267
207,0.8,4,D,C,C,C,5.0,2.0,2.0,2.0,4.4,2.2,2.2,2.2,0.3543,0.3543,0.3543,0.3543,11.0,0,0.02,8.1667
208,0.8,4,D,C,C,C,5.0,2.0,2.0,2.0,4.4,2.2,2.2,2.2,0.3525,0.3525,0.3525,0.3525,11.0,0,0.02,8.1833
209,0.8,4,C,C,C,D,2.0,2.0,2.0,5.0,2.2,2.2,2.2,4.4,0.3508,0.3508,0.3508,0.3508,11.0,0,0.02,8.2
210,0.8,4,D,D,D,D,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.349,0.349,0.349,0.349,4.0,0,0.02,8.17
211,0.8,4,D,C,D,D,2.3333,0.0,2.3333,2.3333,2.1778,0.4667,2.1778,2.1778,0.3473,0.3473,0.3473,0.3473,7.0,0,0.02,8.1467
212,0.8,4,D,C,D,C,3.6667,1.0,3.6667,1.0,3.3111,1.3556,3.3111,1.3556,0.3455,0.3455,0.3455,0.3455,9.3333,0,0.01,8.12
213,0.8,4,D,C,D,D,2.3333,0.0,2.3333,2.3333,2.1778,0.4667,2.1778,2.1778,0.3438,0.3438,0.3438,0.3438,7.0,0,0.01,8.12
214,0.8,4,C,C,C,D,2.0,2.0,2.0,5.0,2.2,2.2,2.2,4.4,0.3421,0.3421,0.3421,0.3421,11.0,0,0.01,8.12
215,0.8,4,D,D,D,D,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3404,0.3404,0.3404,0.3404,4.0,0,0.01,8.09
