step,experiment,type,N,empathy_alpha,A1_action,A2_action,r1,r2,r1_shaped,r2_shaped,epsilon_A1,epsilon_A2,state,total_reward,coop_flag,moving_avg_coop,moving_avg_total_reward,extra_total_extraction,extra_stock_level
81,pd_N2,matrix,2,1.0,C,D,0.0,5.0,0.0,5.0,0.6663,0.6663,"('C', 'D')",5.0,0,,,,
82,pd_N2,matrix,2,1.0,C,D,0.0,5.0,0.0,5.0,0.663,0.663,"('C', 'D')",5.0,0,,,,
83,pd_N2,matrix,2,1.0,C,D,0.0,5.0,0.0,5.0,0.6597,0.6597,"('C', 'D')",5.0,0,,,,
84,pd_N2,matrix,2,1.0,C,D,0.0,5.0,0.0,5.0,0.6564,0.6564,"('C', 'D')",5.0,0,,,,
85,pd_N2,matrix,2,1.0,C,D,0.0,5.0,0.0,5.0,0.6531,0.6531,"('C', 'D')",5.0,0,,,,
86,pd_N2,matrix,2,1.0,D,D,1.0,1.0,1.0,1.0,0.6498,0.6498,"('D', 'D')",2.0,0,,,,
87,pd_N2,matrix,2,1.0,D,C,5.0,0.0,5.0,0.0,0.6466,0.6466,"('D', 'C')",5.0,0,,,,
88,pd_N2,matrix,2,1.0,D,C,5.0,0.0,5.0,0.0,0.6433,0.6433,"('D', 'C')",5.0,0,,,,
89,pd_N2,matrix,2,1.0,D,D,1.0,1.0,1.0,1.0,0.6401,0.6401,"('D', 'D')",2.0,0,,,,
90,pd_N2,matrix,2,1.0,D,D,1.0,1.0,1.0,1.0,0.6369,0.6369,"('D', 'D')",2.0,0,,,,
91,pd_N2,matrix,2,1.0,D,C,5.0,0.0,5.0,0.0,0.6337,0.6337,"('D', 'C')",5.0,0,,,,
92,pd_N2,matrix,2,1.0,D,C,5.0,0.0,5.0,0.0,0.6306,0.6306,"('D', 'C')",5.0,0,,,,
93,pd_N2,matrix,2,1.0,D,D,1.0,1.0,1.0,1.0,0.6274,0.6274,"('D', 'D')",2.0,0,,,,
94,pd_N2,matrix,2,1.0,C,D,0.0,5.0,0.0,5.0,0.6243,0.6243,"('C', 'D')",5.0,0,,,,
95,pd_N2,matrix,2,1.0,D,D,1.0,1.0,1.0,1.0,0.6211,0.6211,"('D', 'D')",2.0,0,,,,
96,pd_N2,matrix,2,1.0,D,D,1.0,1.0,1.0,1.0,0.618,0.618,"('D', 'D')",2.0,0,,,,
97,pd_N2,matrix,2,1.0,D,C,5.0,0.0,5.0,0.0,0.6149,0.6149,"('D', 'C')",5.0,0,,,,
98,pd_N2,matrix,2,1.0,C,D,0.0,5.0,0.0,5.0,0.6119,0.6119,"('C', 'D')",5.0,0,,,,
99,pd_N2,matrix,2,1.0,C,C,3.0,3.0,3.0,3.0,0.6088,0.6088,"('C', 'C')",6.0,1,,,,
100,pd_N2,matrix,2,1.0,D,D,1.0,1.0,1.0,1.0,0.6058,0.6058,"('D', 'D')",2.0,0,0.18,4.31,,
101,pd_N2,matrix,2,1.0,C,C,3.0,3.0,3.0,3.0,0.6027,0.6027,"('C', 'C')",6.0,1,0.18,4.31,,
102,pd_N2,matrix,2,1.0,C,D,0.0,5.0,0.0,5.0,0.5997,0.5997,"('C', 'D')",5.0,0,0.18,4.31,,
103,pd_N2,matrix,2,1.0,C,D,0.0,5.0,0.0,5.0,0.5967,0.5967,"('C', 'D')",5.0,0,0.17,4.3,,
104,pd_N2,matrix,2,1.0,D,D,1.0,1.0,1.0,1.0,0.5937,0.5937,"('D', 'D')",2.0,0,0.17,4.27,,
105,pd_N2,matrix,2,1.0,D,D,1.0,1.0,1.0,1.0,0.5908,0.5908,"('D', 'D')",2.0,0,0.17,4.24,,
106,pd_N2,matrix,2,1.0,D,C,5.0,0.0,5.0,0.0,0.5878,0.5878,"('D', 'C')",5.0,0,0.17,4.24,,
107,pd_N2,matrix,2,1.0,D,D,1.0,1.0,1.0,1.0,0.5849,0.5849,"('D', 'D')",2.0,0,0.16,4.2,,
108,pd_N2,matrix,2,1.0,D,D,1.0,1.0,1.0,1.0,0.582,0.582,"('D', 'D')",2.0,0,0.16,4.17,,
109,pd_N2,matrix,2,1.0,D,C,5.0,0.0,5.0,0.0,0.579,0.579,"('D', 'C')",5.0,0,0.16,4.17,,
110,pd_N2,matrix,2,1.0,D,D,1.0,1.0,1.0,1.0,0.5762,0.5762,"('D', 'D')",2.0,0,0.16,4.14,,
111,pd_N2,matrix,2,1.0,D,D,1.0,1.0,1.0,1.0,0.5733,0.5733,"('D', 'D')",2.0,0,0.16,4.11,,
