episode,alpha_emp,A1_action,A2_action,A3_action,A4_action,r1,r2,r3,r4,r1_shaped,r2_shaped,r3_shaped,r4_shaped,epsilon_A1,epsilon_A2,epsilon_A3,epsilon_A4,total_reward,coop_flag,moving_avg_coop,moving_avg_total_reward
82,1.0,D,D,C,C,3.6667,3.6667,1.0,1.0,3.6667,3.6667,1.0,1.0,0.663,0.663,0.663,0.663,9.3333,0,,
83,1.0,C,C,C,C,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.6597,0.6597,0.6597,0.6597,12.0,1,,
84,1.0,C,D,C,D,1.0,3.6667,1.0,3.6667,1.0,3.6667,1.0,3.6667,0.6564,0.6564,0.6564,0.6564,9.3333,0,,
85,1.0,C,C,C,C,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.6531,0.6531,0.6531,0.6531,12.0,1,,
86,1.0,C,C,C,D,2.0,2.0,2.0,5.0,2.0,2.0,2.0,5.0,0.6498,0.6498,0.6498,0.6498,11.0,0,,
87,1.0,C,D,D,D,0.0,2.3333,2.3333,2.3333,0.0,2.3333,2.3333,2.3333,0.6466,0.6466,0.6466,0.6466,7.0,0,,
88,1.0,D,C,D,C,3.6667,1.0,3.6667,1.0,3.6667,1.0,3.6667,1.0,0.6433,0.6433,0.6433,0.6433,9.3333,0,,
89,1.0,D,C,C,D,3.6667,1.0,1.0,3.6667,3.6667,1.0,1.0,3.6667,0.6401,0.6401,0.6401,0.6401,9.3333,0,,
90,1.0,C,C,C,C,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.6369,0.6369,0.6369,0.6369,12.0,1,,
91,1.0,C,D,D,C,1.0,3.6667,3.6667,1.0,1.0,3.6667,3.6667,1.0,0.6337,0.6337,0.6337,0.6337,9.3333,0,,
92,1.0,C,D,D,C,1.0,3.6667,3.6667,1.0,1.0,3.6667,3.6667,1.0,0.6306,0.6306,0.6306,0.6306,9.3333,0,,
93,1.0,C,D,D,C,1.0,3.6667,3.6667,1.0,1.0,3.6667,3.6667,1.0,0.6274,0.6274,0.6274,0.6274,9.3333,0,,
94,1.0,C,D,C,C,2.0,5.0,2.0,2.0,2.0,5.0,2.0,2.0,0.6243,0.6243,0.6243,0.6243,11.0,0,,
95,1.0,C,D,C,D,1.0,3.6667,1.0,3.6667,1.0,3.6667,1.0,3.6667,0.6211,0.6211,0.6211,0.6211,9.3333,0,,
96,1.0,C,D,C,C,2.0,5.0,2.0,2.0,2.0,5.0,2.0,2.0,0.618,0.618,0.618,0.618,11.0,0,,
97,1.0,C,C,C,D,2.0,2.0,2.0,5.0,2.0,2.0,2.0,5.0,0.6149,0.6149,0.6149,0.6149,11.0,0,,
98,1.0,D,C,D,D,2.3333,0.0,2.3333,2.3333,2.3333,0.0,2.3333,2.3333,0.6119,0.6119,0.6119,0.6119,7.0,0,,
99,1.0,C,C,D,D,1.0,1.0,3.6667,3.6667,1.0,1.0,3.6667,3.6667,0.6088,0.6088,0.6088,0.6088,9.3333,0,,
100,1.0,D,C,D,C,3.6667,1.0,3.6667,1.0,3.6667,1.0,3.6667,1.0,0.6058,0.6058,0.6058,0.6058,9.3333,0,0.04,9.06
101,1.0,D,D,C,C,3.6667,3.6667,1.0,1.0,3.6667,3.6667,1.0,1.0,0.6027,0.6027,0.6027,0.6027,9.3333,0,0.04,9.0433
102,1.0,C,D,D,D,0.0,2.3333,2.3333,2.3333,0.0,2.3333,2.3333,2.3333,0.5997,0.5997,0.5997,0.5997,7.0,0,0.04,9.02
103,1.0,D,C,D,D,2.3333,0.0,2.3333,2.3333,2.3333,0.0,2.3333,2.3333,0.5967,0.5967,0.5967,0.5967,7.0,0,0.03,8.97
104,1.0,D,C,D,D,2.3333,0.0,2.3333,2.3333,2.3333,0.0,2.3333,2.3333,0.5937,0.5937,0.5937,0.5937,7.0,0,0.03,8.93
105,1.0,C,D,D,D,0.0,2.3333,2.3333,2.3333,0.0,2.3333,2.3333,2.3333,0.5908,0.5908,0.5908,0.5908,7.0,0,0.03,8.9067
106,1.0,D,C,C,C,5.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,0.5878,0.5878,0.5878,0.5878,11.0,0,0.03,8.9233
107,1.0,D,D,D,D,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5849,0.5849,0.5849,0.5849,4.0,0,0.03,8.8533
108,1.0,C,D,D,C,1.0,3.6667,3.6667,1.0,1.0,3.6667,3.6667,1.0,0.582,0.582,0.582,0.582,9.3333,0,0.03,8.8533
109,1.0,D,C,D,D,2.3333,0.0,2.3333,2.3333,2.3333,0.0,2.3333,2.3333,0.579,0.579,0.579,0.579,7.0,0,0.03,8.83
110,1.0,D,D,D,C,2.3333,2.3333,2.3333,0.0,2.3333,2.3333,2.3333,0.0,0.5762,0.5762,0.5762,0.5762,7.0,0,0.03,8.8067
111,1.0,D,D,D,D,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5733,0.5733,0.5733,0.5733,4.0,0,0.03,8.7533
112,1.0,C,C,D,D,1.0,1.0,3.6667,3.6667,1.0,1.0,3.6667,3.6667,0.5704,0.5704,0.5704,0.5704,9.3333,0,0.03,8.7767
113,1.0,D,C,C,D,3.6667,1.0,1.0,3.6667,3.6667,1.0,1.0,3.6667,0.5676,0.5676,0.5676,0.5676,9.3333,0,0.03,8.8
114,1.0,C,D,D,D,0.0,2.3333,2.3333,2.3333,0.0,2.3333,2.3333,2.3333,0.5647,0.5647,0.5647,0.5647,7.0,0,0.03,8.7767
115,1.0,D,D,C,D,2.3333,2.3333,0.0,2.3333,2.3333,2.3333,0.0,2.3333,0.5619,0.5619,0.5619,0.5619,7.0,0,0.03,8.7367
116,1.0,C,C,C,D,2.0,2.0,2.0,5.0,2.0,2.0,2.0,5.0,0.5591,0.5591,0.5591,0.5591,11.0,0,0.03,8.7767
117,1.0,C,D,C,D,1.0,3.6667,1.0,3.6667,1.0,3.6667,1.0,3.6667,0.5563,0.5563,0.5563,0.5563,9.3333,0,0.03,8.7767
118,1.0,C,D,D,C,1.0,3.6667,3.6667,1.0,1.0,3.6667,3.6667,1.0,0.5535,0.5535,0.5535,0.5535,9.3333,0,0.03,8.7767
119,1.0,C,D,D,C,1.0,3.6667,3.6667,1.0,1.0,3.6667,3.6667,1.0,0.5507,0.5507,0.5507,0.5507,9.3333,0,0.03,8.8
120,1.0,C,D,D,C,1.0,3.6667,3.6667,1.0,1.0,3.6667,3.6667,1.0,0.548,0.548,0.548,0.548,9.3333,0,0.03,8.8233
121,1.0,D,D,D,C,2.3333,2.3333,2.3333,0.0,2.3333,2.3333,2.3333,0.0,0.5452,0.5452,0.5452,0.5452,7.0,0,0.03,8.8233
122,1.0,D,D,C,C,3.6667,3.6667,1.0,1.0,3.6667,3.6667,1.0,1.0,0.5425,0.5425,0.5425,0.5425,9.3333,0,0.03,8.8067
123,1.0,C,C,D,C,2.0,2.0,5.0,2.0,2.0,2.0,5.0,2.0,0.5398,0.5398,0.5398,0.5398,11.0,0,0.03,8.8467
124,1.0,D,D,C,D,2.3333,2.3333,0.0,2.3333,2.3333,2.3333,0.0,2.3333,0.5371,0.5371,0.5371,0.5371,7.0,0,0.03,8.8233
125,1.0,D,C,C,D,3.6667,1.0,1.0,3.6667,3.6667,1.0,1.0,3.6667,0.5344,0.5344,0.5344,0.5344,9.3333,0,0.03,8.8233
126,1.0,D,D,D,D,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5318,0.5318,0.5318,0.5318,4.0,0,0.03,8.7933
127,1.0,C,C,D,C,2.0,2.0,5.0,2.0,2.0,2.0,5.0,2.0,0.5291,0.5291,0.5291,0.5291,11.0,0,0.03,8.81
128,1.0,D,D,D,C,2.3333,2.3333,2.3333,0.0,2.3333,2.3333,2.3333,0.0,0.5264,0.5264,0.5264,0.5264,7.0,0,0.03,8.77
129,1.0,D,D,D,D,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5238,0.5238,0.5238,0.5238,4.0,0,0.03,8.74
130,1.0,D,C,C,C,5.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,0.5212,0.5212,0.5212,0.5212,11.0,0,0.03,8.74
131,1.0,D,D,D,D,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5186,0.5186,0.5186,0.5186,4.0,0,0.03,8.6867
132,1.0,C,C,C,D,2.0,2.0,2.0,5.0,2.0,2.0,2.0,5.0,0.516,0.516,0.516,0.516,11.0,0,0.03,8.6867
133,1.0,C,D,D,D,0.0,2.3333,2.3333,2.3333,0.0,2.3333,2.3333,2.3333,0.5134,0.5134,0.5134,0.5134,7.0,0,0.03,8.6867
134,1.0,D,D,D,D,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5108,0.5108,0.5108,0.5108,4.0,0,0.03,8.6167
135,1.0,C,D,C,C,2.0,5.0,2.0,2.0,2.0,5.0,2.0,2.0,0.5083,0.5083,0.5083,0.5083,11.0,0,0.03,8.6167
136,1.0,D,D,C,D,2.3333,2.3333,0.0,2.3333,2.3333,2.3333,0.0,2.3333,0.5058,0.5058,0.5058,0.5058,7.0,0,0.03,8.5933
