step,experiment,type,N,baseline,empathy_alpha,hetero_tag,learn_alpha_signal,alpha1,alpha2,alpha3,alpha4,alpha_mean,a1,a2,a3,a4,r1,r2,r3,r4,total_reward,coop_strict,coop_fraction,ineq_var,stock_level,collapse,ma_coop_strict,ma_coop_fraction,ma_total_reward,ma_ineq_var,ma_stock_level,ma_collapse,ma_alpha_mean
247,pd_N4,matrix,4,learn_alpha,1.0,,team,0.5,0.0,0.2,0.8,0.375,D,D,C,C,3.6667,3.6667,1.0,1.0,9.3333,0,0.5,1.777778,,,0.1,0.545,9.3667,1.359306,,,0.375
248,pd_N4,matrix,4,learn_alpha,1.0,,team,0.5,0.0,0.2,0.8,0.375,D,C,C,D,3.6667,1.0,1.0,3.6667,9.3333,0,0.5,1.777778,,,0.1,0.5475,9.39,1.366875,,,0.375
249,pd_N4,matrix,4,learn_alpha,1.0,,team,0.5,0.0,0.2,0.8,0.375,C,C,C,D,2.0,2.0,2.0,5.0,11.0,0,0.75,1.6875,,,0.1,0.5475,9.39,1.366875,,,0.375
250,pd_N4,matrix,4,learn_alpha,1.0,,team,0.5,0.5,0.2,0.8,0.5,C,C,C,C,3.0,3.0,3.0,3.0,12.0,1,1.0,0.0,,,0.11,0.5525,9.4167,1.349097,,,0.3762
251,pd_N4,matrix,4,learn_alpha,1.0,,team,0.5,0.5,0.2,0.8,0.5,C,D,D,D,0.0,2.3333,2.3333,2.3333,7.0,0,0.25,1.020833,,,0.11,0.5525,9.4167,1.349097,,,0.3775
252,pd_N4,matrix,4,learn_alpha,1.0,,team,0.5,0.5,0.2,0.8,0.5,C,D,C,D,1.0,3.6667,1.0,3.6667,9.3333,0,0.5,1.777778,,,0.11,0.55,9.4,1.35,,,0.3787
253,pd_N4,matrix,4,learn_alpha,1.0,,team,0.5,0.5,0.2,0.8,0.5,D,C,C,D,3.6667,1.0,1.0,3.6667,9.3333,0,0.5,1.777778,,,0.11,0.55,9.4,1.35,,,0.38
254,pd_N4,matrix,4,learn_alpha,1.0,,team,0.5,0.5,0.2,0.8,0.5,D,C,D,D,2.3333,0.0,2.3333,2.3333,7.0,0,0.25,1.020833,,,0.11,0.5475,9.3767,1.342431,,,0.3812
255,pd_N4,matrix,4,learn_alpha,1.0,,team,0.5,0.5,0.2,0.8,0.5,C,C,C,C,3.0,3.0,3.0,3.0,12.0,1,1.0,0.0,,,0.12,0.5525,9.4033,1.324653,,,0.3825
256,pd_N4,matrix,4,learn_alpha,1.0,,team,0.5,0.5,0.2,0.8,0.5,C,D,D,D,0.0,2.3333,2.3333,2.3333,7.0,0,0.25,1.020833,,,0.12,0.5525,9.4033,1.324653,,,0.3837
257,pd_N4,matrix,4,learn_alpha,1.0,,team,0.5,0.5,0.2,0.8,0.5,C,D,C,D,1.0,3.6667,1.0,3.6667,9.3333,0,0.5,1.777778,,,0.11,0.5475,9.3767,1.342431,,,0.385
258,pd_N4,matrix,4,learn_alpha,1.0,,team,0.5,0.5,0.2,0.8,0.5,D,C,C,D,3.6667,1.0,1.0,3.6667,9.3333,0,0.5,1.777778,,,0.11,0.5475,9.3767,1.342431,,,0.3862
259,pd_N4,matrix,4,learn_alpha,1.0,,team,0.5,0.5,0.2,0.8,0.5,C,C,C,D,2.0,2.0,2.0,5.0,11.0,0,0.75,1.6875,,,0.11,0.55,9.3933,1.341528,,,0.3875
260,pd_N4,matrix,4,learn_alpha,1.0,,team,0.5,0.5,0.2,0.8,0.5,D,C,C,C,5.0,2.0,2.0,2.0,11.0,0,0.75,1.6875,,,0.11,0.55,9.3933,1.341528,,,0.3887
261,pd_N4,matrix,4,learn_alpha,1.0,,team,0.5,0.5,0.2,0.8,0.5,D,C,D,C,3.6667,1.0,3.6667,1.0,9.3333,0,0.5,1.777778,,,0.11,0.55,9.3933,1.341528,,,0.39
262,pd_N4,matrix,4,learn_alpha,1.0,,team,0.5,0.5,0.2,0.8,0.5,C,D,D,D,0.0,2.3333,2.3333,2.3333,7.0,0,0.25,1.020833,,,0.11,0.55,9.3933,1.341528,,,0.3912
263,pd_N4,matrix,4,learn_alpha,1.0,,team,0.5,0.5,0.2,0.8,0.5,D,D,C,D,2.3333,2.3333,0.0,2.3333,7.0,0,0.25,1.020833,,,0.11,0.55,9.3933,1.341528,,,0.3925
264,pd_N4,matrix,4,learn_alpha,1.0,,team,0.5,0.5,0.2,0.8,0.5,C,C,C,D,2.0,2.0,2.0,5.0,11.0,0,0.75,1.6875,,,0.11,0.5525,9.41,1.340625,,,0.3937
