episode,alpha_emp,A1_action,A2_action,A3_action,A4_action,r1,r2,r3,r4,r1_shaped,r2_shaped,r3_shaped,r4_shaped,epsilon_A1,epsilon_A2,epsilon_A3,epsilon_A4,total_extraction,stock_level,total_reward,coop_flag,moving_avg_coop,moving_avg_total_reward
70,0.2,2,2,0,1,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.7041,0.7041,0.7041,0.7041,5,0,-2.0,0,,
71,0.2,2,0,2,2,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.7005,0.7005,0.7005,0.7005,6,0,-2.0,0,,
72,0.2,0,1,0,1,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.697,0.697,0.697,0.697,2,0,-2.0,1,,
73,0.2,0,0,2,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.6936,0.6936,0.6936,0.6936,2,0,-2.0,1,,
74,0.2,1,0,1,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.6901,0.6901,0.6901,0.6901,2,0,-2.0,1,,
75,0.2,1,0,2,2,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.6866,0.6866,0.6866,0.6866,5,0,-2.0,0,,
76,0.2,2,0,1,2,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.6832,0.6832,0.6832,0.6832,5,0,-2.0,0,,
77,0.2,0,0,1,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.6798,0.6798,0.6798,0.6798,1,1,-2.0,1,,
78,0.2,2,0,2,2,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.6764,0.6764,0.6764,0.6764,6,0,-2.0,0,,
79,0.2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.673,0.673,0.673,0.673,0,2,0.0,1,,
