step,experiment,type,N,empathy_alpha,A1_action,A2_action,A3_action,A4_action,r1,r2,r3,r4,r1_shaped,r2_shaped,r3_shaped,r4_shaped,epsilon_A1,epsilon_A2,epsilon_A3,epsilon_A4,state,total_reward,coop_flag,moving_avg_coop,moving_avg_total_reward,extra_total_extraction,extra_stock_level
49,sh_N4,matrix,4,1.0,S,H,H,S,1.3333,2.6667,2.6667,1.3333,1.3333,2.6667,2.6667,1.3333,0.7822,0.7822,0.7822,0.7822,"('S', 'H', 'H', 'S')",8.0,0,,,,
50,sh_N4,matrix,4,1.0,S,H,H,S,1.3333,2.6667,2.6667,1.3333,1.3333,2.6667,2.6667,1.3333,0.7783,0.7783,0.7783,0.7783,"('S', 'H', 'H', 'S')",8.0,0,,,,
51,sh_N4,matrix,4,1.0,H,S,S,H,2.6667,1.3333,1.3333,2.6667,2.6667,1.3333,1.3333,2.6667,0.7744,0.7744,0.7744,0.7744,"('H', 'S', 'S', 'H')",8.0,0,,,,
52,sh_N4,matrix,4,1.0,H,S,S,H,2.6667,1.3333,1.3333,2.6667,2.6667,1.3333,1.3333,2.6667,0.7705,0.7705,0.7705,0.7705,"('H', 'S', 'S', 'H')",8.0,0,,,,
53,sh_N4,matrix,4,1.0,S,H,S,S,2.6667,3.0,2.6667,2.6667,2.6667,3.0,2.6667,2.6667,0.7667,0.7667,0.7667,0.7667,"('S', 'H', 'S', 'S')",11.0,0,,,,
54,sh_N4,matrix,4,1.0,S,S,H,S,2.6667,2.6667,3.0,2.6667,2.6667,2.6667,3.0,2.6667,0.7629,0.7629,0.7629,0.7629,"('S', 'S', 'H', 'S')",11.0,0,,,,
55,sh_N4,matrix,4,1.0,H,H,S,H,2.3333,2.3333,0.0,2.3333,2.3333,2.3333,0.0,2.3333,0.759,0.759,0.759,0.759,"('H', 'H', 'S', 'H')",7.0,0,,,,
56,sh_N4,matrix,4,1.0,S,S,H,S,2.6667,2.6667,3.0,2.6667,2.6667,2.6667,3.0,2.6667,0.7553,0.7553,0.7553,0.7553,"('S', 'S', 'H', 'S')",11.0,0,,,,
57,sh_N4,matrix,4,1.0,H,H,S,H,2.3333,2.3333,0.0,2.3333,2.3333,2.3333,0.0,2.3333,0.7515,0.7515,0.7515,0.7515,"('H', 'H', 'S', 'H')",7.0,0,,,,
58,sh_N4,matrix,4,1.0,S,S,S,S,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.7477,0.7477,0.7477,0.7477,"('S', 'S', 'S', 'S')",16.0,1,,,,
59,sh_N4,matrix,4,1.0,H,H,H,S,2.3333,2.3333,2.3333,0.0,2.3333,2.3333,2.3333,0.0,0.744,0.744,0.744,0.744,"('H', 'H', 'H', 'S')",7.0,0,,,,
60,sh_N4,matrix,4,1.0,H,S,H,H,2.3333,0.0,2.3333,2.3333,2.3333,0.0,2.3333,2.3333,0.7403,0.7403,0.7403,0.7403,"('H', 'S', 'H', 'H')",7.0,0,,,,
61,sh_N4,matrix,4,1.0,S,S,S,H,2.6667,2.6667,2.6667,3.0,2.6667,2.6667,2.6667,3.0,0.7366,0.7366,0.7366,0.7366,"('S', 'S', 'S', 'H')",11.0,0,,,,
62,sh_N4,matrix,4,1.0,S,H,S,H,1.3333,2.6667,1.3333,2.6667,1.3333,2.6667,1.3333,2.6667,0.7329,0.7329,0.7329,0.7329,"('S', 'H', 'S', 'H')",8.0,0,,,,
63,sh_N4,matrix,4,1.0,S,H,H,H,0.0,2.3333,2.3333,2.3333,0.0,2.3333,2.3333,2.3333,0.7292,0.7292,0.7292,0.7292,"('S', 'H', 'H', 'H')",7.0,0,,,,
64,sh_N4,matrix,4,1.0,S,H,H,S,1.3333,2.6667,2.6667,1.3333,1.3333,2.6667,2.6667,1.3333,0.7256,0.7256,0.7256,0.7256,"('S', 'H', 'H', 'S')",8.0,0,,,,
